,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
r95pETCCDI,462.29,226.51,83.71,404.78,350.6,231.9,89.64,417.88,406.45,237.3,94.29,419.87,270.79,114.26,446.22,275.96,120.37,465.38,275.78,121.09,461.03,302.18,130.12,505.58,281.82,127.37,480.92,410.19,206.22,648.0
r99pETCCDI,155.33,63.66,6.25,145.44,99.37,67.17,7.13,155.48,127.13,70.14,8.4,159.31,91.87,16.75,194.96,93.78,18.53,202.8,93.35,17.71,202.58,108.83,22.81,227.6,96.25,16.8,216.48,178.62,56.1,346.46
rx1dayETCCDI,68.52,37.99,26.96,49.19,61.35,38.52,27.77,49.52,64.6,38.88,28.11,50.33,41.31,30.14,53.57,42.1,31.0,55.36,41.69,30.42,55.28,43.01,31.42,56.07,42.11,30.11,56.14,50.3,36.23,68.13
rx5dayETCCDI,122.65,107.35,77.16,141.1,118.62,108.72,77.28,144.18,124.35,109.0,79.48,145.49,112.38,81.23,149.89,114.18,82.81,154.38,113.07,84.28,148.23,115.23,84.5,151.2,115.13,84.18,151.02,128.97,93.15,173.41
sdiiETCCDI,9.69,7.47,6.04,8.94,8.71,7.49,6.06,8.96,9.26,7.53,6.1,9.01,7.68,6.29,9.06,7.75,6.45,9.28,7.75,6.38,9.09,7.9,6.47,9.48,7.8,6.54,9.04,8.52,7.0,10.09
suETCCDI,365.23,194.34,152.09,236.42,365.27,198.06,156.35,239.3,365.23,205.71,164.68,244.75,250.05,211.23,284.06,251.14,212.51,287.75,258.15,227.55,290.28,271.21,232.96,303.66,258.54,224.17,289.31,315.54,288.93,336.99
tas,22.27,20.45,19.8,21.1,22.56,20.57,19.93,21.2,22.94,20.74,20.05,21.4,21.73,20.95,22.47,21.77,20.99,22.6,21.97,21.31,22.59,22.25,21.41,23.1,22.09,21.43,22.79,23.7,22.8,24.59
tn10pETCCDI,10.33,10.62,3.84,20.13,6.48,8.76,2.99,16.64,4.32,6.65,1.83,13.7,3.9,2.28,6.48,3.82,2.18,6.74,3.16,1.92,4.96,2.57,1.27,4.28,2.94,1.79,4.72,0.65,0.23,1.39
tn90pETCCDI,10.77,10.6,3.36,22.22,20.88,12.63,4.31,24.05,30.75,17.07,6.57,31.3,42.79,25.68,58.89,45.26,25.82,64.55,48.08,33.59,62.86,58.73,38.91,77.72,48.65,34.11,63.53,84.87,72.96,92.99
tnnETCCDI,13.57,11.05,9.98,12.12,14.16,11.19,10.14,12.2,14.48,11.41,10.36,12.36,12.35,11.28,13.41,12.47,11.32,13.67,12.57,11.56,13.58,13.04,11.79,14.22,12.57,11.41,13.6,14.81,13.41,16.06
tnxETCCDI,20.21,19.98,19.13,20.83,20.99,20.13,19.29,21.01,21.56,20.35,19.45,21.23,21.25,20.37,22.2,21.32,20.31,22.37,21.45,20.61,22.39,21.86,20.81,23.0,21.49,20.67,22.41,23.36,22.21,24.44
trETCCDI,92.08,36.96,26.67,51.71,92.12,39.04,28.11,53.11,92.08,43.8,30.34,61.24,62.09,41.26,86.01,63.31,38.73,91.6,69.1,49.52,91.38,84.69,55.11,121.89,70.5,50.39,93.78,159.63,119.18,203.91
tx10pETCCDI,10.55,10.69,4.89,18.84,6.95,9.77,4.62,16.64,2.93,8.47,4.03,14.66,4.04,1.54,7.59,3.99,1.45,7.31,3.51,1.4,6.54,2.94,0.95,5.64,3.43,1.3,6.55,1.22,0.3,2.43
tx90pETCCDI,10.66,10.72,2.65,23.09,22.09,11.63,3.12,23.73,32.81,14.21,4.43,27.09,34.48,18.73,50.67,34.66,18.32,52.5,38.41,24.64,53.75,44.49,26.21,61.93,38.86,23.75,55.0,64.83,49.57,77.48
txnETCCDI,19.69,18.74,17.67,19.8,20.34,18.86,17.86,19.86,20.93,19.01,18.04,19.96,19.87,18.82,20.86,19.94,18.85,21.05,20.03,18.95,21.05,20.35,19.22,21.47,20.09,19.12,21.01,21.56,20.43,22.6
txxETCCDI,31.58,31.44,30.01,33.02,33.32,31.54,30.18,33.09,34.63,31.71,30.3,33.26,33.21,31.68,35.02,33.17,31.64,35.08,33.45,31.91,35.29,33.66,32.02,35.32,33.48,31.88,35.35,35.19,33.41,37.15
wsdiETCCDI,29.03,8.52,0.0,30.19,62.57,10.93,0.03,36.26,93.83,17.01,0.38,46.72,72.51,25.66,130.44,74.2,24.7,139.59,86.5,41.41,142.61,109.65,44.26,181.42,88.95,39.37,150.25,193.91,129.39,251.92
