,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,0.96,0.18,1.35,1.53,1.03,0.71,0.54,0.42,0.33,2.79,1.39,3.15,-0.01,0.43,-2.16,3.19,1.74,5.85
csdiETCCDI,-2.76,0.0,-8.67,-2.52,0.0,-7.58,-2.95,0.0,-9.97,-2.85,0.0,-9.1,-3.04,0.0,-10.63,-3.29,0.0,-11.35
cwdETCCDI,0.19,-0.08,1.1,-0.16,-0.12,0.14,0.21,0.25,0.44,-0.09,-0.05,0.19,0.46,0.52,0.4,-0.18,-0.01,-0.46
dtrETCCDI,0.08,0.06,0.08,0.04,0.04,0.01,0.11,0.11,0.1,0.05,0.02,0.04,0.08,0.1,0.08,0.11,0.13,0.09
fdETCCDI,-6.69,-5.15,-7.95,-5.8,-4.65,-7.6,-7.76,-5.93,-9.95,-7.84,-5.82,-10.05,-8.61,-5.82,-11.06,-12.86,-8.73,-17.11
gslETCCDI,10.65,17.72,3.47,9.44,17.64,2.93,12.23,19.3,3.82,11.78,20.2,3.38,12.52,21.47,3.0,18.06,33.52,4.2
idETCCDI,-0.75,-0.06,-1.99,-0.72,-0.06,-2.22,-0.91,-0.06,-2.6,-0.9,-0.06,-2.72,-0.94,-0.06,-2.79,-1.18,-0.06,-3.74
pr,32.13,-3.91,67.73,2.94,-36.2,37.09,47.75,12.1,79.4,3.37,-41.69,35.31,79.58,34.82,116.26,12.45,-35.25,43.07
prcptotETCCDI,53.16,36.04,120.52,15.02,-12.32,48.47,73.81,58.06,123.0,18.72,-17.19,76.84,111.46,95.66,156.17,33.75,2.5,85.13
r10mmETCCDI,0.81,0.89,1.5,-0.62,-0.79,-0.44,1.13,1.33,1.67,-1.06,-1.25,0.17,2.63,3.29,2.62,-1.35,-1.18,-1.78
r1mmETCCDI,-1.27,-2.61,-0.89,-3.63,-3.79,-3.78,-0.46,-2.3,1.56,-5.57,-6.61,-2.73,1.13,-0.25,1.54,-8.69,-9.7,-8.08
r20mmETCCDI,1.38,0.76,2.91,0.66,0.26,1.7,1.77,0.88,3.33,0.88,0.32,2.09,2.49,2.0,3.39,1.3,0.85,2.33
r95pETCCDI,61.98,27.11,103.98,50.36,18.26,113.59,77.44,42.12,150.11,69.94,31.48,147.9,94.18,44.67,144.45,116.86,73.4,175.84
r99pETCCDI,36.96,11.8,74.56,30.09,5.74,70.43,47.14,13.57,105.48,43.5,14.92,77.8,52.32,18.18,95.9,76.43,27.94,136.53
rx1dayETCCDI,7.34,2.33,12.05,6.45,2.96,11.51,9.89,2.74,18.27,9.6,3.82,14.67,9.16,4.64,14.38,13.35,7.38,18.1
rx5dayETCCDI,12.3,8.28,21.71,10.45,4.17,24.34,15.42,8.17,28.2,13.82,6.05,20.91,15.1,9.5,23.85,20.27,12.54,33.05
sdiiETCCDI,0.45,0.43,0.76,0.36,0.27,0.67,0.54,0.46,1.02,0.53,0.34,0.93,0.67,0.62,0.92,0.89,0.64,1.38
suETCCDI,24.19,23.65,23.32,20.94,19.97,21.89,28.59,30.03,27.52,30.03,28.99,31.03,30.84,32.81,28.51,54.9,55.16,54.78
tas,1.33,1.35,1.33,1.26,1.19,1.39,1.65,1.72,1.61,1.82,1.7,1.97,1.91,1.96,1.84,3.36,3.21,3.48
tn10pETCCDI,-5.7,-3.09,-8.98,-5.08,-2.86,-7.77,-6.29,-3.23,-10.37,-6.3,-3.41,-10.02,-6.58,-3.34,-10.81,-7.96,-3.89,-13.2
tn90pETCCDI,18.66,14.62,21.16,16.99,12.41,20.53,22.72,19.27,24.9,24.77,19.56,28.67,25.22,22.72,26.06,44.81,40.05,46.66
tnnETCCDI,1.46,2.15,1.26,1.43,1.83,1.16,1.8,2.46,1.43,2.02,3.01,1.47,2.06,3.04,1.45,3.54,4.47,3.09
tnxETCCDI,1.35,1.32,1.37,1.32,1.32,1.41,1.62,1.66,1.6,1.92,1.84,2.07,1.85,1.89,1.88,3.54,3.31,3.79
trETCCDI,22.17,25.04,20.49,20.25,21.68,20.61,25.38,28.34,23.85,27.73,29.24,28.32,27.99,31.47,25.88,50.31,50.74,50.81
tx10pETCCDI,-5.73,-2.98,-8.91,-4.99,-2.75,-7.54,-6.36,-3.26,-9.97,-6.23,-3.38,-9.42,-6.68,-3.44,-10.51,-8.17,-4.08,-13.09
tx90pETCCDI,14.67,10.52,17.87,13.09,8.96,16.95,18.29,14.63,21.12,19.77,14.14,24.41,20.0,16.64,22.41,39.09,33.06,42.77
txnETCCDI,1.36,1.42,1.45,1.32,1.41,1.27,1.77,2.05,1.74,1.88,2.04,1.88,2.0,2.26,1.85,3.48,3.52,3.5
txxETCCDI,1.41,1.36,1.48,1.33,1.26,1.72,1.69,1.64,1.81,1.97,1.79,2.26,1.81,1.79,1.91,3.59,3.42,3.82
wsdiETCCDI,30.92,11.26,48.93,28.23,8.92,46.72,40.3,18.37,57.89,46.51,21.33,71.26,45.85,23.14,65.1,112.58,72.6,145.37
