,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,-0.34,0.3,-1.71,-0.94,-0.04,-1.83,-0.15,0.41,-1.45,-0.89,-0.1,-1.34,-0.69,-0.08,-2.51,-1.53,-0.33,-2.63
csdiETCCDI,6.11,5.41,2.02,6.42,5.09,3.06,4.96,4.35,0.55,4.11,2.84,0.14,3.93,3.68,-0.77,-0.51,0.0,-5.31
cwdETCCDI,0.01,0.08,0.43,-0.11,0.1,-0.21,0.38,0.34,1.15,-0.25,0.04,-0.87,0.23,0.29,0.38,-0.04,-0.06,-0.57
dtrETCCDI,0.14,0.1,0.16,0.05,0.03,0.03,0.12,0.08,0.12,0.0,0.0,-0.04,0.12,0.07,0.12,-0.27,-0.31,-0.25
fdETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gslETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi27,60.52,70.33,44.46,62.78,69.52,50.2,68.39,85.48,46.85,80.47,95.51,59.1,68.84,88.74,48.59,105.01,143.53,66.19
hi32,21.11,8.34,35.65,22.47,7.03,43.04,25.61,11.21,41.42,41.38,12.94,73.27,27.83,12.76,47.81,126.41,69.63,178.96
hi41,0.03,0.0,0.07,0.02,0.0,0.07,0.05,0.0,0.13,0.03,0.0,0.1,0.05,0.0,0.13,0.44,0.0,1.33
hi54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr,98.21,67.08,147.86,118.4,80.37,166.74,123.01,63.56,165.05,194.09,110.71,282.05,188.25,131.86,280.46,385.32,283.88,527.68
prcptotETCCDI,62.91,39.82,92.33,83.53,91.96,88.13,91.03,57.54,112.21,124.33,99.47,161.09,122.34,103.73,139.29,333.32,237.47,423.01
r10mmETCCDI,2.96,1.45,3.31,3.41,3.68,3.74,3.96,2.45,3.29,5.23,4.39,5.65,5.54,4.57,5.15,13.84,11.09,15.6
r1mmETCCDI,2.87,3.65,3.39,4.07,4.94,2.92,4.29,2.93,4.8,4.87,5.99,5.61,6.41,6.06,6.63,12.2,10.36,13.9
r20mmETCCDI,2.71,2.37,2.41,3.05,2.43,4.21,3.13,2.91,4.1,5.42,3.11,9.1,4.73,2.93,6.75,14.75,10.36,18.07
r95pETCCDI,70.77,47.39,58.73,75.77,51.87,97.98,83.48,53.13,107.57,132.65,71.51,188.44,111.45,74.13,160.03,361.07,234.25,466.04
r99pETCCDI,48.94,18.69,82.07,51.81,18.13,95.0,53.88,19.76,106.62,89.26,30.48,165.62,70.98,19.95,146.37,254.49,113.81,416.07
rx1dayETCCDI,4.35,3.96,5.05,5.03,4.67,7.66,4.78,3.88,7.63,7.12,5.97,9.28,5.87,4.03,10.48,19.13,14.55,28.97
rx5dayETCCDI,4.5,2.5,6.25,6.03,3.91,10.75,5.19,5.49,4.68,7.63,6.31,7.45,8.36,6.59,8.37,23.7,16.91,32.8
sdiiETCCDI,0.21,0.23,0.09,0.29,0.43,0.36,0.3,0.35,0.14,0.49,0.47,0.6,0.38,0.55,0.16,1.28,1.17,1.38
suETCCDI,44.34,46.55,39.31,45.43,47.83,43.0,52.44,62.87,45.53,65.5,68.28,58.91,52.83,59.49,44.56,109.83,124.25,92.24
tas,1.0,0.91,1.07,1.04,0.94,1.2,1.23,1.26,1.2,1.52,1.37,1.7,1.35,1.38,1.4,2.96,2.75,3.2
tn10pETCCDI,-2.71,0.64,-7.22,-2.78,0.57,-6.96,-3.43,0.3,-8.74,-3.97,-0.3,-9.42,-3.66,0.13,-8.98,-5.75,-1.33,-12.16
tn90pETCCDI,25.72,19.11,27.59,28.19,19.25,33.25,31.02,27.02,31.56,41.66,32.35,46.43,31.58,27.54,32.23,67.81,66.39,61.69
tnnETCCDI,0.94,0.92,1.05,1.06,0.96,1.31,1.16,1.2,1.22,1.63,1.43,1.86,1.16,1.05,1.24,3.4,3.05,3.7
tnxETCCDI,0.9,0.92,0.97,0.96,0.86,1.14,1.09,1.16,1.16,1.5,1.36,1.78,1.14,1.21,1.19,3.0,2.75,3.22
trETCCDI,18.29,10.92,24.77,19.51,8.39,30.36,25.3,19.18,30.14,40.89,24.77,60.65,26.7,20.05,32.54,115.83,88.84,142.67
