,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,1.43,0.69,2.52,1.23,0.97,1.06,1.97,0.85,4.04,1.63,1.23,2.31,1.21,0.67,1.0,4.69,2.28,9.06
csdiETCCDI,-1.77,0.0,-5.14,-2.18,0.0,-5.9,-1.83,0.0,-5.52,-2.56,0.0,-8.06,-2.06,0.0,-6.34,-2.96,0.0,-10.85
cwdETCCDI,-0.03,-0.13,-0.3,-0.06,-0.28,-0.36,-0.07,-0.31,-0.22,-0.05,-0.11,-0.04,-0.03,-0.3,-0.02,-0.35,-0.34,-0.83
dtrETCCDI,0.22,0.25,0.22,0.18,0.18,0.16,0.29,0.31,0.31,0.2,0.18,0.22,0.23,0.24,0.23,0.32,0.28,0.32
fdETCCDI,-5.89,-2.37,-10.45,-7.22,-3.98,-12.77,-6.63,-2.99,-11.61,-10.17,-5.66,-16.24,-7.71,-4.06,-13.43,-16.43,-8.63,-26.26
gslETCCDI,11.72,22.63,3.51,13.63,21.55,5.58,12.41,21.31,4.82,18.91,30.55,6.65,12.79,24.04,5.17,29.15,51.96,8.01
idETCCDI,-1.26,-0.11,-3.67,-1.46,-0.11,-3.88,-1.36,-0.11,-3.92,-1.77,-0.11,-5.05,-1.63,-0.11,-5.06,-2.2,-0.11,-6.91
pr,9.54,3.67,14.76,8.27,5.73,26.54,10.42,5.82,15.05,17.43,-1.46,36.81,27.63,26.23,28.38,20.01,20.16,37.63
prcptotETCCDI,7.82,-4.87,17.63,14.3,9.38,34.11,6.47,-3.1,8.99,21.3,2.22,37.11,22.62,13.19,20.86,17.12,12.46,33.49
r10mmETCCDI,1.11,1.14,0.78,1.48,0.95,1.82,1.38,1.21,1.01,2.11,1.34,2.83,1.71,1.01,1.46,2.85,2.38,3.7
r1mmETCCDI,-3.73,-3.42,-4.24,-3.2,-1.19,-3.12,-4.73,-4.24,-7.11,-3.98,-4.38,-5.46,-2.14,-1.89,-4.8,-10.79,-9.66,-12.44
r20mmETCCDI,0.38,0.19,0.64,0.49,0.3,0.88,0.47,0.17,0.74,0.63,0.4,0.84,0.66,0.31,1.07,1.22,0.77,1.81
r95pETCCDI,21.05,18.75,17.06,24.13,15.87,21.57,23.52,12.3,25.25,33.71,22.79,35.32,29.98,18.9,31.42,55.72,38.95,70.05
r99pETCCDI,12.83,6.57,21.78,12.46,3.44,17.04,13.17,6.34,19.63,15.94,6.48,23.12,17.04,6.67,25.17,33.63,17.68,48.12
rx1dayETCCDI,2.08,1.28,3.96,2.46,1.02,5.3,2.17,1.02,4.87,2.71,1.77,5.09,3.13,1.74,5.93,5.5,3.39,9.01
rx5dayETCCDI,3.36,1.26,5.44,4.85,2.62,10.02,3.17,1.99,5.71,4.75,3.43,6.85,4.87,2.38,7.11,7.6,5.11,9.79
sdiiETCCDI,0.19,0.17,0.19,0.23,0.17,0.26,0.22,0.16,0.21,0.3,0.25,0.3,0.25,0.22,0.24,0.55,0.48,0.63
suETCCDI,9.51,4.82,14.86,9.3,5.31,13.11,12.06,6.92,16.31,13.6,8.54,19.67,10.67,5.7,14.09,32.03,17.45,44.0
tas,1.01,1.09,0.94,1.16,1.2,1.18,1.2,1.3,1.14,1.59,1.6,1.53,1.36,1.51,1.26,2.86,2.81,2.92
tn10pETCCDI,-3.64,-1.34,-6.26,-4.03,-1.59,-6.98,-3.82,-1.46,-6.97,-4.97,-2.0,-8.65,-4.0,-1.43,-7.36,-6.44,-2.47,-11.43
tn90pETCCDI,10.53,9.42,10.96,11.35,9.51,11.48,11.85,10.07,12.41,16.53,13.71,18.48,12.86,11.71,12.8,32.67,27.91,35.08
tnnETCCDI,1.15,1.57,0.62,1.41,1.85,0.72,1.27,1.89,0.76,1.88,2.54,1.16,1.57,2.18,0.71,3.2,4.79,2.35
tnxETCCDI,1.45,1.35,1.68,1.57,1.36,1.87,1.75,1.73,1.85,2.12,1.96,2.39,1.73,1.81,1.78,3.93,3.58,4.42
trETCCDI,2.42,0.29,5.47,2.32,0.41,4.75,3.19,0.48,6.42,4.38,0.83,9.63,3.19,0.65,6.38,15.85,5.03,28.47
tx10pETCCDI,-3.92,-1.35,-6.97,-4.23,-1.63,-7.53,-4.16,-1.51,-7.53,-5.08,-1.91,-9.07,-4.35,-1.44,-7.99,-6.42,-2.19,-11.88
tx90pETCCDI,10.74,9.07,11.84,11.16,9.42,11.86,12.47,10.45,13.72,15.71,12.46,17.39,12.94,11.3,13.6,31.58,26.1,34.89
txnETCCDI,1.0,1.56,0.67,1.28,1.69,0.94,1.13,1.66,0.94,1.68,2.03,1.4,1.48,1.9,0.99,3.2,3.5,2.87
txxETCCDI,1.9,1.91,2.16,1.77,1.89,1.88,2.32,2.54,2.47,2.51,2.65,2.65,2.1,2.0,1.92,4.54,4.41,4.65
wsdiETCCDI,25.22,10.01,37.54,25.72,9.46,38.53,29.88,11.31,41.45,40.03,17.67,58.34,33.03,17.04,45.61,94.11,53.7,126.04
