,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,-0.26,-1.13,-2.11,-0.09,-1.02,-1.3,0.24,-0.75,0.35,0.79,-0.01,0.58,-0.77,-0.76,-0.32,1.94,0.27,3.62
csdiETCCDI,-1.84,0.0,-7.92,-1.68,0.0,-7.14,-1.96,0.0,-8.43,-2.01,0.0,-8.72,-1.94,0.0,-8.31,-2.07,0.0,-8.98
cwdETCCDI,0.05,0.09,-1.81,-0.34,0.4,-2.0,0.34,0.78,-0.1,-0.07,0.93,-1.89,1.73,0.89,2.09,-0.05,0.29,-1.09
dtrETCCDI,-0.01,-0.1,-0.03,-0.09,-0.12,-0.18,-0.06,-0.16,-0.06,-0.15,-0.15,-0.2,-0.09,-0.1,-0.1,-0.38,-0.35,-0.38
fdETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gslETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr,44.54,20.84,68.64,54.23,44.23,85.32,60.23,32.42,97.5,86.26,53.07,133.48,96.06,53.31,135.36,166.81,115.03,225.3
prcptotETCCDI,25.61,11.94,26.04,23.58,37.89,11.46,45.7,21.48,64.21,41.47,28.34,36.77,69.32,61.9,69.72,115.64,101.71,113.89
r10mmETCCDI,0.93,-0.02,0.76,0.69,0.83,0.97,1.8,0.66,2.61,1.63,1.17,2.26,2.77,1.82,3.45,5.11,4.39,5.65
r1mmETCCDI,1.75,0.07,4.43,1.17,2.98,-0.49,3.48,2.34,6.28,1.45,1.3,0.0,5.28,3.67,4.06,3.43,3.69,2.01
r20mmETCCDI,0.45,0.24,0.57,0.47,0.7,0.44,0.68,0.3,0.89,0.77,0.8,0.76,0.88,0.72,0.92,1.94,1.31,2.3
r95pETCCDI,18.61,12.42,27.01,21.23,24.54,35.97,25.2,17.69,34.44,36.25,29.99,45.03,34.13,24.39,44.1,96.72,67.9,127.19
r99pETCCDI,9.98,4.28,20.16,11.14,4.93,25.35,12.33,3.78,27.13,19.08,5.48,37.14,18.82,7.22,33.45,53.99,19.91,86.53
rx1dayETCCDI,2.13,1.52,5.45,2.74,1.96,4.14,2.07,1.96,4.98,3.65,2.22,5.69,2.76,2.3,3.9,7.48,5.54,10.24
rx5dayETCCDI,3.61,3.58,2.81,3.96,4.82,5.48,3.79,3.83,3.53,5.69,4.78,8.6,5.22,6.78,2.73,12.92,10.95,13.81
sdiiETCCDI,0.11,0.08,0.07,0.13,0.18,0.08,0.18,0.13,0.17,0.24,0.26,0.22,0.29,0.28,0.19,0.66,0.57,0.62
suETCCDI,28.88,29.58,28.1,31.05,32.59,30.38,33.67,36.8,30.81,46.08,47.12,42.8,34.11,39.9,31.44,85.49,96.0,75.84
tas,0.98,0.91,1.03,1.05,0.92,1.15,1.19,1.21,1.14,1.55,1.42,1.63,1.32,1.34,1.28,3.0,2.78,3.16
tn10pETCCDI,-5.27,-1.59,-10.0,-5.3,-1.59,-9.95,-5.7,-1.69,-11.18,-6.14,-1.79,-11.91,-5.67,-1.68,-11.06,-6.68,-1.81,-13.47
tn90pETCCDI,29.76,23.81,28.78,33.56,23.79,37.52,35.65,32.04,34.35,48.29,40.7,48.93,36.26,32.74,33.75,74.34,76.87,64.23
tnnETCCDI,1.04,1.0,0.98,1.15,0.97,1.2,1.25,1.23,1.19,1.75,1.62,1.83,1.25,1.28,1.15,3.53,3.32,3.64
tnxETCCDI,0.96,0.95,0.99,1.05,0.95,1.14,1.12,1.13,1.16,1.57,1.45,1.78,1.1,1.16,1.0,3.05,2.91,3.15
trETCCDI,20.79,17.32,23.54,23.68,17.46,30.17,25.15,22.31,26.22,38.3,28.45,47.51,25.18,21.97,26.3,104.42,76.23,132.7
tx10pETCCDI,-4.43,-2.58,-6.56,-4.54,-2.49,-7.67,-4.9,-2.66,-7.57,-5.64,-3.02,-9.24,-4.97,-2.78,-8.17,-7.35,-3.73,-12.48
tx90pETCCDI,19.67,13.81,23.31,21.06,13.0,26.03,22.99,17.75,25.25,30.45,22.62,34.02,23.46,18.33,27.13,51.79,46.26,52.02
txnETCCDI,0.8,0.87,0.74,0.88,0.91,0.85,0.98,1.02,0.88,1.35,1.34,1.36,1.03,1.01,0.94,2.61,2.56,2.56
txxETCCDI,1.2,1.02,1.39,1.25,1.06,1.3,1.29,1.1,1.43,1.78,1.52,1.79,1.34,1.19,1.43,3.19,2.98,3.3
wsdiETCCDI,51.59,22.39,78.0,58.06,22.57,92.21,63.93,36.41,91.85,92.91,46.71,128.86,68.09,39.33,96.67,186.26,138.37,215.02
