,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,2.57,1.54,4.55,2.82,1.15,6.23,3.47,1.97,5.91,3.75,1.52,7.6,3.19,2.21,3.8,7.76,4.72,12.65
csdiETCCDI,-2.03,0.0,-5.67,-2.43,0.0,-6.66,-2.28,0.0,-6.55,-3.01,0.0,-9.39,-2.46,0.0,-7.38,-3.63,0.0,-12.86
cwdETCCDI,-0.08,0.1,-0.69,0.18,-0.03,0.44,-0.1,-0.14,-0.61,0.07,0.04,0.28,-0.1,0.06,-0.56,-0.1,-0.28,0.16
dtrETCCDI,0.33,0.29,0.34,0.26,0.23,0.22,0.42,0.38,0.44,0.31,0.3,0.32,0.34,0.33,0.33,0.49,0.43,0.49
fdETCCDI,-7.27,-3.19,-10.75,-8.61,-4.43,-13.4,-8.1,-3.92,-12.43,-12.21,-7.0,-17.4,-9.6,-4.97,-13.38,-20.0,-11.28,-28.01
gslETCCDI,9.26,15.13,3.35,11.65,20.0,3.99,10.7,15.83,3.61,16.2,22.86,4.43,13.12,18.34,3.69,25.35,38.88,4.49
idETCCDI,-1.68,-0.03,-3.9,-1.86,-0.06,-4.18,-1.92,-0.06,-4.79,-2.39,-0.06,-6.01,-2.13,-0.06,-5.75,-2.89,-0.06,-8.04
pr,1.36,4.0,3.86,0.94,8.25,5.37,6.89,11.09,7.24,-3.16,-0.42,-9.7,13.77,14.91,22.4,-12.02,-24.65,8.87
prcptotETCCDI,-4.49,2.06,2.15,-0.68,3.14,19.69,-5.57,-6.6,1.03,-3.46,-8.22,-0.25,8.34,11.88,19.33,-19.58,-34.8,15.69
r10mmETCCDI,0.87,1.04,1.56,0.9,1.47,1.23,1.26,1.01,2.02,1.15,1.35,1.63,1.54,1.69,2.49,1.87,1.23,3.27
r1mmETCCDI,-5.74,-3.22,-5.85,-5.47,-3.8,-5.49,-7.45,-5.06,-9.31,-7.45,-7.19,-8.99,-4.87,-2.15,-5.91,-15.46,-13.57,-15.34
r20mmETCCDI,0.46,0.21,0.57,0.5,0.26,0.73,0.48,0.23,0.65,0.65,0.31,0.93,0.7,0.34,1.08,1.13,0.66,1.75
r95pETCCDI,17.23,18.11,14.44,19.11,14.98,25.15,20.6,17.66,23.36,25.41,19.67,29.99,27.93,18.8,37.28,45.59,29.42,66.31
r99pETCCDI,10.41,4.63,11.05,12.97,3.96,20.94,10.66,5.27,13.96,15.95,6.56,19.67,15.63,4.22,24.21,28.35,10.01,51.86
rx1dayETCCDI,1.74,1.39,3.23,2.21,1.1,3.65,1.49,1.21,1.88,2.35,1.35,2.98,2.14,1.63,2.34,3.6,2.52,4.69
rx5dayETCCDI,2.4,2.42,1.97,2.84,1.43,2.71,2.42,1.75,0.33,3.05,1.21,4.74,2.78,1.78,3.94,5.97,3.24,8.06
sdiiETCCDI,0.18,0.17,0.25,0.21,0.14,0.25,0.24,0.17,0.32,0.27,0.22,0.32,0.25,0.19,0.38,0.48,0.31,0.67
suETCCDI,18.28,15.75,19.97,19.0,14.55,22.62,22.66,20.72,23.33,26.27,21.63,29.78,21.71,18.93,21.83,48.59,43.12,52.18
tas,1.15,1.25,1.05,1.33,1.34,1.37,1.39,1.49,1.27,1.84,1.81,1.78,1.57,1.7,1.45,3.27,3.15,3.36
tn10pETCCDI,-3.61,-1.52,-6.01,-4.05,-1.89,-6.59,-3.87,-1.47,-6.43,-5.07,-2.26,-8.28,-4.12,-1.68,-6.91,-6.67,-2.87,-10.88
tn90pETCCDI,8.73,6.91,10.27,9.6,7.99,10.29,10.32,8.84,11.01,14.35,11.47,16.73,10.85,9.58,11.5,29.69,23.59,34.3
tnnETCCDI,1.33,2.28,0.68,1.65,2.68,0.92,1.49,2.54,0.79,2.31,3.88,1.3,2.08,3.57,1.0,3.61,5.66,2.44
tnxETCCDI,1.78,1.64,2.02,1.87,1.99,1.82,2.16,2.19,2.26,2.62,2.47,2.72,2.05,1.92,1.84,4.96,4.43,5.3
trETCCDI,5.21,1.34,9.71,5.32,1.54,9.71,6.83,2.23,10.84,8.88,2.86,15.99,6.34,2.04,10.73,24.96,9.63,41.02
tx10pETCCDI,-3.89,-1.38,-6.47,-4.24,-1.74,-6.98,-4.3,-1.5,-7.49,-5.15,-2.12,-8.28,-4.41,-1.6,-7.31,-6.68,-2.52,-11.38
tx90pETCCDI,9.22,6.47,9.93,9.53,7.48,10.51,11.1,9.05,11.87,13.69,9.85,16.11,11.2,9.22,11.87,28.47,22.28,32.82
txnETCCDI,1.17,1.92,0.97,1.43,1.82,1.28,1.33,2.12,1.13,2.02,2.83,1.77,1.84,2.82,1.57,3.52,4.26,3.42
txxETCCDI,2.29,2.34,2.3,2.08,2.14,2.0,2.71,2.83,2.4,3.04,3.05,3.16,2.41,2.54,2.22,5.56,5.42,5.84
wsdiETCCDI,18.77,5.39,28.17,19.51,6.99,29.98,23.38,8.34,33.52,30.65,10.97,49.9,24.79,10.46,36.0,78.6,42.04,112.04
