,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,-4.11,-2.24,-4.05,-2.12,-0.04,-2.33,-6.29,-1.88,-5.72,-3.97,-0.04,-7.19,-5.54,-0.83,-5.05,-9.29,-3.72,-9.25
csdiETCCDI,-2.14,0.0,-8.81,-2.13,0.0,-8.72,-2.29,0.0,-9.44,-2.31,0.0,-9.42,-2.13,0.0,-8.05,-2.71,0.0,-12.02
cwdETCCDI,0.27,0.17,0.24,0.28,0.18,0.39,0.4,0.24,0.6,0.21,0.16,0.27,0.47,0.34,0.39,0.52,0.39,0.76
dtrETCCDI,-0.13,-0.04,-0.23,-0.33,-0.22,-0.47,-0.08,0.01,-0.19,-0.39,-0.23,-0.5,-0.05,0.03,-0.14,-0.6,-0.46,-0.76
fdETCCDI,-11.85,-10.79,-12.49,-10.3,-10.25,-10.31,-14.36,-13.77,-14.66,-15.35,-15.91,-14.44,-15.34,-14.22,-14.9,-32.05,-33.1,-30.02
gslETCCDI,11.59,11.02,11.74,9.23,9.36,8.4,13.99,12.92,14.82,13.79,14.19,14.49,15.11,14.83,13.54,29.15,27.18,29.93
idETCCDI,-13.17,-9.36,-15.81,-11.81,-8.36,-13.88,-15.54,-11.52,-18.89,-15.64,-11.63,-18.21,-16.38,-13.63,-17.65,-29.65,-22.09,-34.09
pr,64.1,41.73,81.2,57.26,45.26,80.31,72.15,61.58,91.37,70.8,61.14,93.21,83.83,60.62,99.64,130.84,105.64,164.54
prcptotETCCDI,64.62,34.02,74.56,60.57,41.83,79.31,77.29,53.95,97.86,75.47,66.84,103.38,89.8,46.05,97.73,149.51,116.76,190.94
r10mmETCCDI,2.31,1.66,2.31,1.99,1.56,2.14,2.72,2.11,3.15,2.35,2.2,2.32,3.02,2.29,2.51,4.4,4.05,4.53
r1mmETCCDI,2.99,1.85,4.29,1.9,2.27,2.45,3.39,3.39,4.31,1.88,1.96,2.25,3.94,3.33,4.1,4.77,4.85,5.22
r20mmETCCDI,1.2,0.2,1.38,1.17,0.67,1.94,1.47,0.51,2.04,1.48,0.96,1.73,1.61,0.71,1.91,2.84,1.93,3.59
r95pETCCDI,34.17,19.12,45.39,35.9,15.82,64.57,39.27,22.83,60.25,47.55,24.52,84.32,45.07,19.54,63.54,94.16,54.95,133.68
r99pETCCDI,14.35,1.08,37.08,16.47,0.88,26.29,17.6,1.85,35.56,24.17,1.91,43.37,21.63,2.35,45.66,53.94,11.43,82.77
rx1dayETCCDI,5.14,2.28,4.26,6.63,2.58,6.81,7.12,4.24,8.89,10.25,5.07,11.85,8.7,3.56,11.09,20.24,10.98,27.51
rx5dayETCCDI,9.11,2.83,11.18,11.43,5.59,8.97,12.87,6.82,19.4,16.17,8.31,17.83,15.24,7.66,17.52,29.92,16.78,34.76
sdiiETCCDI,0.63,0.36,0.65,0.79,0.47,1.02,0.79,0.37,1.11,1.06,0.75,1.31,0.91,0.44,0.78,1.8,1.37,1.88
suETCCDI,17.98,18.35,16.75,13.45,13.95,11.76,22.32,24.0,20.2,20.28,21.53,20.03,24.34,27.25,20.72,38.17,40.41,36.14
tas,1.54,1.51,1.52,1.41,1.39,1.51,1.95,2.04,1.93,2.06,2.03,2.15,2.23,2.24,2.18,3.98,3.85,4.1
tn10pETCCDI,-5.26,-2.46,-8.75,-4.96,-2.49,-8.09,-5.76,-2.61,-9.88,-6.06,-2.96,-9.63,-5.88,-2.75,-9.16,-7.78,-3.27,-13.19
tn90pETCCDI,15.39,11.56,19.32,13.1,8.96,17.27,18.96,16.46,21.39,20.36,15.31,25.8,20.58,17.52,22.33,44.5,37.95,49.3
tnnETCCDI,1.92,2.02,1.77,1.83,2.28,1.72,2.23,2.56,2.25,2.53,2.64,2.46,2.26,2.17,2.14,5.28,5.56,5.22
tnxETCCDI,1.52,1.57,1.69,1.3,1.46,1.43,1.87,1.98,2.15,1.96,2.17,2.09,2.13,2.22,2.54,3.85,3.9,4.12
trETCCDI,19.95,20.42,19.94,17.3,17.25,17.49,23.44,24.74,21.68,25.13,24.22,25.02,24.96,26.26,23.13,48.45,48.11,46.94
tx10pETCCDI,-4.32,-2.52,-6.48,-3.81,-2.37,-5.68,-5.06,-2.87,-7.51,-5.05,-3.2,-6.99,-5.36,-3.29,-7.92,-7.67,-4.47,-11.51
tx90pETCCDI,9.47,6.78,11.82,6.33,4.9,8.26,11.95,9.28,14.4,10.35,7.54,13.33,13.21,10.83,15.69,25.06,20.08,29.43
txnETCCDI,1.69,2.09,1.34,1.59,2.16,0.99,2.09,2.53,1.68,2.34,2.98,1.79,2.11,2.54,1.88,4.55,5.02,3.96
txxETCCDI,1.48,1.54,1.55,0.92,0.97,1.04,1.83,1.84,1.84,1.62,2.01,1.44,1.98,2.03,1.61,3.44,3.74,3.25
wsdiETCCDI,13.61,1.89,25.65,8.44,0.47,16.99,18.0,4.44,31.83,15.05,2.05,28.66,19.43,4.59,32.51,52.73,20.85,80.85
