,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,1.51,0.76,2.8,1.4,0.99,1.51,1.99,0.89,4.2,1.88,1.31,2.78,1.25,0.65,1.21,4.96,2.49,9.65
csdiETCCDI,-1.24,0.0,-4.75,-1.54,0.0,-5.39,-1.3,0.0,-5.1,-1.8,0.0,-7.02,-1.45,0.0,-5.58,-2.08,0.0,-8.94
cwdETCCDI,-0.03,-0.05,-0.28,-0.06,-0.22,-0.32,-0.08,-0.23,-0.22,-0.06,-0.07,-0.07,0.0,-0.18,-0.01,-0.29,-0.27,-0.74
dtrETCCDI,0.22,0.25,0.22,0.18,0.18,0.16,0.29,0.31,0.31,0.2,0.18,0.22,0.23,0.24,0.23,0.31,0.28,0.32
fdETCCDI,-5.89,-2.37,-10.45,-7.22,-3.98,-12.77,-6.63,-2.99,-11.61,-10.17,-5.66,-16.24,-7.71,-4.06,-13.43,-16.43,-8.63,-26.26
gslETCCDI,11.72,22.63,3.51,13.63,21.55,5.58,12.41,21.31,4.82,18.91,30.55,6.65,12.79,24.04,5.17,29.15,51.96,8.01
idETCCDI,-1.26,-0.11,-3.67,-1.46,-0.11,-3.88,-1.36,-0.11,-3.92,-1.77,-0.11,-5.05,-1.63,-0.11,-5.06,-2.2,-0.11,-6.91
pr,8.15,2.1,13.74,7.45,4.27,23.67,8.59,4.09,12.37,15.66,-2.72,33.35,24.08,21.76,24.84,17.54,17.1,32.19
prcptotETCCDI,6.47,-6.33,16.53,13.73,9.07,31.07,5.18,-4.12,7.3,21.15,1.82,35.09,21.43,11.09,19.08,16.37,11.5,29.62
r10mmETCCDI,1.36,1.36,1.16,1.74,1.17,2.08,1.7,1.51,1.42,2.52,1.63,3.34,2.0,1.23,1.71,3.33,2.78,4.3
r1mmETCCDI,-3.22,-2.94,-3.51,-2.63,-1.09,-2.51,-4.05,-3.54,-5.97,-3.16,-3.71,-4.34,-1.78,-1.74,-3.81,-8.79,-7.92,-10.15
r20mmETCCDI,0.9,0.23,1.57,1.08,0.37,1.87,0.92,0.2,1.55,1.3,0.5,1.9,1.35,0.41,2.42,2.15,1.1,3.44
r95pETCCDI,18.94,16.8,16.31,22.23,14.95,20.59,21.28,10.79,23.54,31.29,20.71,34.73,27.56,17.09,30.26,51.0,35.21,65.78
r99pETCCDI,12.04,5.63,20.42,11.91,3.47,16.18,12.24,5.32,18.63,15.23,5.95,22.79,16.56,6.23,24.71,30.77,15.38,43.88
rx1dayETCCDI,2.42,1.57,4.47,2.93,1.28,5.91,2.52,1.24,5.43,3.23,2.1,5.87,3.61,2.06,6.87,6.34,3.94,10.44
rx5dayETCCDI,3.55,1.38,5.4,5.14,2.85,10.13,3.37,2.18,5.84,5.02,3.64,6.9,5.17,2.63,7.39,7.99,5.48,10.06
sdiiETCCDI,0.22,0.2,0.22,0.26,0.19,0.3,0.26,0.2,0.25,0.35,0.29,0.34,0.29,0.25,0.28,0.64,0.56,0.72
suETCCDI,9.51,4.82,14.86,9.3,5.31,13.11,12.06,6.92,16.31,13.6,8.54,19.67,10.67,5.7,14.09,32.03,17.45,44.0
tas,1.01,1.09,0.95,1.16,1.2,1.19,1.21,1.31,1.14,1.59,1.6,1.54,1.36,1.51,1.26,2.86,2.81,2.93
tn10pETCCDI,-3.63,-1.32,-6.26,-4.02,-1.57,-6.98,-3.81,-1.44,-6.97,-4.96,-1.97,-8.65,-3.99,-1.41,-7.36,-6.41,-2.42,-11.43
tn90pETCCDI,10.53,9.42,10.96,11.36,9.51,11.48,11.85,10.07,12.41,16.53,13.71,18.48,12.86,11.71,12.8,32.67,27.91,35.08
tnnETCCDI,1.14,1.58,0.62,1.41,1.85,0.71,1.27,1.89,0.75,1.88,2.54,1.16,1.57,2.18,0.71,3.19,4.8,2.35
tnxETCCDI,1.45,1.35,1.68,1.56,1.36,1.87,1.75,1.73,1.85,2.12,1.96,2.39,1.73,1.8,1.78,3.92,3.57,4.42
trETCCDI,2.42,0.29,5.47,2.32,0.41,4.75,3.19,0.48,6.42,4.38,0.83,9.63,3.19,0.65,6.38,15.85,5.03,28.47
tx10pETCCDI,-3.92,-1.33,-6.97,-4.22,-1.6,-7.53,-4.15,-1.48,-7.53,-5.06,-1.87,-9.07,-4.34,-1.42,-7.99,-6.39,-2.12,-11.89
tx90pETCCDI,10.74,9.07,11.84,11.16,9.42,11.86,12.47,10.44,13.72,15.71,12.46,17.39,12.94,11.3,13.6,31.58,26.1,34.89
txnETCCDI,1.0,1.55,0.67,1.28,1.68,0.95,1.13,1.66,0.95,1.69,2.03,1.4,1.48,1.9,1.0,3.2,3.5,2.87
txxETCCDI,1.89,1.92,2.16,1.77,1.9,1.89,2.31,2.54,2.47,2.51,2.66,2.66,2.1,2.01,1.93,4.53,4.41,4.65
wsdiETCCDI,25.02,9.39,37.54,25.52,8.72,38.52,29.68,10.57,41.45,39.81,16.91,58.34,32.82,16.34,45.6,93.87,52.79,126.04
