,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,0.91,0.22,1.55,1.56,1.03,1.06,0.62,0.43,0.56,2.55,1.4,3.31,0.24,0.56,-1.29,3.02,1.59,5.57
csdiETCCDI,-1.83,0.0,-7.88,-1.7,0.0,-6.95,-1.92,0.0,-8.42,-1.88,0.0,-7.9,-2.0,0.0,-8.9,-2.07,0.0,-9.09
cwdETCCDI,0.18,0.01,0.9,-0.12,-0.05,0.14,0.2,0.25,0.31,-0.01,0.03,0.29,0.4,0.47,0.39,-0.1,0.03,-0.3
dtrETCCDI,0.07,0.07,0.08,0.03,0.04,0.01,0.11,0.12,0.1,0.05,0.03,0.04,0.07,0.1,0.08,0.1,0.13,0.09
fdETCCDI,-6.69,-5.15,-7.95,-5.8,-4.65,-7.6,-7.76,-5.93,-9.95,-7.84,-5.82,-10.05,-8.61,-5.82,-11.06,-12.86,-8.73,-17.11
gslETCCDI,10.65,17.72,3.47,9.44,17.64,2.93,12.23,19.3,3.82,11.78,20.2,3.38,12.52,21.47,3.0,18.06,33.52,4.2
idETCCDI,-0.75,-0.06,-1.99,-0.72,-0.06,-2.22,-0.91,-0.06,-2.6,-0.9,-0.06,-2.72,-0.94,-0.06,-2.79,-1.18,-0.06,-3.74
pr,29.04,-3.25,59.13,-0.96,-34.65,28.2,43.49,10.11,71.6,-1.76,-40.33,27.08,69.91,37.05,100.41,4.98,-35.19,27.89
prcptotETCCDI,53.14,38.83,112.87,12.9,-15.01,44.98,73.0,56.11,118.0,14.87,-19.14,71.54,108.76,97.66,151.09,29.84,3.31,73.19
r10mmETCCDI,0.87,1.02,1.41,-0.61,-0.83,-0.33,1.18,1.24,1.75,-1.02,-1.22,0.22,2.64,3.3,2.67,-1.24,-0.91,-1.8
r1mmETCCDI,-0.94,-2.21,-0.77,-3.14,-3.28,-3.43,-0.14,-1.93,1.48,-4.94,-6.05,-2.45,1.39,0.11,1.68,-7.82,-8.91,-7.31
r20mmETCCDI,1.6,1.08,3.18,0.7,0.32,2.01,1.98,1.07,3.57,0.94,0.51,2.59,2.76,2.36,3.74,1.46,1.22,2.33
r95pETCCDI,65.77,29.32,111.81,50.08,18.01,120.69,81.66,45.3,158.53,68.87,30.64,154.62,98.08,48.72,152.27,117.1,78.23,175.35
r99pETCCDI,42.41,13.25,86.06,32.81,8.0,76.67,54.87,16.04,120.14,47.33,15.88,86.34,59.26,20.44,107.77,84.29,34.03,146.71
rx1dayETCCDI,7.79,2.68,13.12,6.65,3.15,12.21,10.43,2.9,18.73,9.75,3.7,15.27,9.8,5.0,15.89,14.02,7.83,18.6
rx5dayETCCDI,12.84,8.76,23.87,10.38,4.04,25.5,15.9,8.46,28.39,13.78,6.06,22.49,15.31,9.67,24.13,20.62,13.22,33.53
sdiiETCCDI,0.46,0.46,0.77,0.35,0.26,0.68,0.55,0.48,1.03,0.52,0.33,0.94,0.69,0.66,0.95,0.9,0.68,1.37
suETCCDI,24.19,23.65,23.32,20.94,19.97,21.89,28.59,30.03,27.52,30.03,28.99,31.03,30.84,32.81,28.51,54.9,55.16,54.78
tas,1.33,1.35,1.33,1.27,1.19,1.4,1.65,1.71,1.61,1.82,1.69,1.98,1.91,1.96,1.85,3.36,3.2,3.49
tn10pETCCDI,-5.7,-3.09,-8.98,-5.08,-2.86,-7.77,-6.29,-3.22,-10.37,-6.3,-3.39,-10.02,-6.58,-3.34,-10.81,-7.94,-3.84,-13.2
tn90pETCCDI,18.67,14.63,21.16,17.0,12.42,20.52,22.72,19.28,24.9,24.78,19.56,28.67,25.23,22.72,26.05,44.82,40.05,46.66
tnnETCCDI,1.45,2.15,1.27,1.43,1.84,1.17,1.8,2.47,1.44,2.01,3.02,1.48,2.06,3.05,1.45,3.54,4.48,3.09
tnxETCCDI,1.35,1.32,1.37,1.32,1.32,1.41,1.62,1.66,1.61,1.92,1.84,2.07,1.85,1.89,1.89,3.54,3.31,3.79
trETCCDI,22.17,25.04,20.49,20.25,21.68,20.61,25.38,28.34,23.85,27.73,29.24,28.32,27.99,31.47,25.88,50.31,50.74,50.81
tx10pETCCDI,-5.73,-2.98,-8.91,-4.99,-2.75,-7.54,-6.36,-3.26,-9.97,-6.23,-3.38,-9.42,-6.68,-3.44,-10.52,-8.16,-4.05,-13.09
tx90pETCCDI,14.66,10.52,17.86,13.08,8.95,16.94,18.28,14.62,21.11,19.76,14.13,24.4,19.99,16.63,22.41,39.08,33.05,42.76
txnETCCDI,1.36,1.42,1.46,1.33,1.41,1.27,1.77,2.06,1.75,1.88,2.04,1.88,2.0,2.27,1.85,3.48,3.52,3.5
txxETCCDI,1.41,1.37,1.48,1.33,1.26,1.72,1.69,1.65,1.81,1.97,1.79,2.26,1.81,1.79,1.91,3.59,3.42,3.82
wsdiETCCDI,30.69,10.31,48.93,28.0,7.97,46.71,40.06,17.39,57.88,46.27,20.36,71.25,45.61,22.16,65.1,112.35,71.62,145.36
