,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,25.67,22.81,14.61,34.01,25.16,23.0,14.97,34.66,24.41,23.39,15.26,35.0,24.9,16.02,37.8,24.79,16.25,36.51,25.38,16.15,39.2,25.27,16.57,37.78,24.64,15.91,36.21,28.35,17.75,44.65
csdiETCCDI,2.7,3.7,0.02,16.4,1.97,2.96,0.02,12.11,2.4,2.14,0.02,9.09,0.9,0.02,4.34,0.6,0.02,3.7,0.84,0.02,3.99,0.34,0.02,2.07,0.69,0.02,3.51,0.06,0.02,0.15
cwdETCCDI,7.22,7.35,5.16,10.56,7.89,7.44,5.21,10.78,7.52,7.56,5.28,10.89,7.53,5.23,10.61,7.5,5.06,10.57,7.48,5.05,10.67,7.5,5.21,10.82,7.56,5.1,10.88,7.27,5.01,10.15
dtrETCCDI,6.73,6.73,6.29,7.18,6.81,6.76,6.31,7.2,6.8,6.77,6.33,7.22,6.99,6.58,7.44,6.95,6.51,7.38,7.06,6.64,7.53,6.97,6.51,7.44,7.0,6.57,7.45,7.08,6.61,7.54
fdETCCDI,0.0,28.56,14.04,46.65,0.0,26.1,12.19,43.16,0.0,22.69,9.97,40.28,16.8,7.6,29.83,15.47,5.99,27.51,16.06,6.98,28.67,12.52,4.31,24.04,14.98,5.91,26.85,6.26,1.34,14.02
gslETCCDI,365.23,313.74,269.59,350.96,365.27,317.97,274.65,351.42,365.23,323.73,278.88,356.38,335.45,301.51,359.89,337.36,300.43,361.96,336.14,300.19,361.2,342.64,309.43,363.03,336.52,302.92,361.55,352.88,330.84,364.39
hi27,,4.24,0.2,11.16,,4.83,0.22,12.51,,5.88,0.32,14.85,12.51,2.95,26.48,12.32,2.67,25.19,13.89,4.06,27.17,15.63,4.55,32.72,13.93,3.23,28.49,30.14,10.67,52.72
hi32,,0.16,0.0,0.91,,0.19,0.0,1.03,,0.27,0.0,1.42,1.07,0.0,4.13,1.12,0.0,4.24,1.29,0.0,4.51,1.63,0.0,5.86,1.3,0.0,4.96,5.48,0.3,14.06
hi41,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.07
hi54,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idETCCDI,0.0,3.24,0.05,10.11,0.0,2.92,0.06,9.26,0.0,2.33,0.11,7.54,1.07,0.0,3.87,0.87,0.0,3.66,0.97,0.0,3.62,0.56,0.0,2.49,0.7,0.0,2.48,0.13,0.0,0.63
