,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
pr,666.07,654.39,527.42,782.22,677.33,657.37,524.66,791.86,696.43,667.05,532.82,806.68,675.2,534.92,820.42,674.5,537.09,830.35,675.64,536.91,819.05,682.71,530.1,840.03,691.13,554.58,831.52,684.59,549.92,838.87
prcptotETCCDI,642.53,647.05,505.91,781.67,658.05,649.66,506.18,797.37,657.45,661.98,515.45,819.41,668.45,509.12,835.94,675.71,524.52,850.48,667.16,511.33,826.71,683.13,517.27,854.5,683.41,526.54,838.49,678.35,526.95,849.03
r10mmETCCDI,17.56,16.69,10.04,23.52,17.58,16.93,10.19,24.59,17.97,17.71,10.8,25.71,19.07,12.16,26.87,19.45,11.97,27.79,19.41,12.31,27.13,20.23,12.43,29.05,19.71,12.03,27.42,21.04,13.58,30.01
r1mmETCCDI,112.0,115.21,95.98,134.11,112.58,114.94,95.87,135.15,113.83,115.13,95.73,135.61,111.91,92.79,132.1,112.5,94.64,133.1,111.08,92.19,129.64,111.97,92.02,131.27,113.35,93.99,131.8,106.34,87.81,125.46
r20mmETCCDI,2.78,2.7,0.3,6.47,3.0,2.65,0.34,6.06,2.69,2.85,0.38,6.41,3.75,0.61,7.98,3.93,0.75,8.28,3.77,0.58,7.96,4.15,0.88,8.31,4.2,0.79,8.83,5.0,1.48,9.85
r95pETCCDI,122.44,118.43,52.57,195.88,140.02,119.76,53.86,197.65,126.08,127.91,60.44,215.17,146.85,77.24,231.48,150.14,75.39,235.76,149.19,71.23,238.71,159.2,81.15,249.9,155.47,77.53,245.43,178.91,95.65,280.95
r99pETCCDI,47.79,34.47,0.79,83.32,48.85,34.61,1.26,82.04,37.32,37.32,2.1,88.55,49.36,7.73,108.97,49.23,5.57,104.73,49.56,7.42,107.18,52.55,8.05,111.34,53.88,8.33,113.26,68.09,17.48,132.43
rx1dayETCCDI,32.7,29.94,21.46,41.53,33.27,29.9,21.48,42.52,30.71,30.34,21.84,42.4,32.76,23.41,46.87,33.27,23.12,48.31,32.86,23.08,47.83,33.57,23.94,48.27,33.95,23.9,49.27,36.68,25.78,52.84
rx5dayETCCDI,58.38,53.46,39.5,74.18,56.52,52.9,39.52,72.04,55.54,54.31,40.16,73.64,57.86,41.54,79.04,59.45,43.01,83.77,57.68,42.34,79.48,59.33,43.8,80.54,59.48,42.79,81.03,62.3,45.64,83.7
sdiiETCCDI,5.74,5.6,4.92,6.31,5.84,5.64,4.94,6.36,5.76,5.73,5.03,6.51,5.95,5.23,6.73,5.99,5.22,6.81,5.99,5.23,6.76,6.08,5.32,6.85,6.02,5.28,6.79,6.37,5.59,7.23
suETCCDI,365.23,10.59,3.14,21.11,365.27,11.68,3.97,22.45,365.23,13.13,4.15,25.27,22.64,8.97,40.13,22.43,9.46,38.38,25.19,11.07,41.58,26.73,12.69,44.94,23.8,9.85,39.36,45.16,21.6,69.27
tas,9.59,9.59,8.68,10.5,9.95,9.76,8.87,10.68,10.3,10.04,9.07,10.99,11.05,10.16,11.94,11.2,10.27,12.18,11.25,10.38,12.13,11.63,10.67,12.53,11.4,10.58,12.25,12.9,11.88,13.92
tn10pETCCDI,10.55,10.55,4.6,18.8,9.62,8.95,3.43,16.23,8.26,7.15,2.48,13.28,3.52,1.16,7.02,3.13,0.91,6.3,3.34,1.04,6.31,2.19,0.51,4.63,3.16,1.07,5.92,0.74,0.06,1.85
tn90pETCCDI,10.47,10.47,4.93,17.55,11.8,12.0,5.57,19.77,13.87,14.59,6.84,24.15,25.12,16.26,35.11,25.95,16.35,35.63,26.44,16.91,36.56,31.12,20.55,42.63,27.45,18.55,36.95,47.26,34.75,59.23
tnnETCCDI,-5.86,-5.86,-10.03,-2.9,-5.52,-5.47,-9.43,-2.72,-5.26,-5.05,-8.45,-2.52,-3.91,-6.87,-1.9,-3.64,-6.6,-1.81,-3.78,-6.56,-1.77,-3.17,-5.91,-1.36,-3.48,-6.27,-1.81,-1.86,-3.65,-0.17
tnxETCCDI,17.7,17.7,15.69,19.89,17.83,17.97,15.93,20.17,18.14,18.26,16.1,20.73,19.71,17.45,22.41,19.82,17.46,22.6,20.01,17.83,22.58,20.38,18.06,23.12,19.99,17.9,22.51,22.18,19.67,25.15
trETCCDI,92.08,0.72,0.0,2.39,92.12,0.82,0.0,2.6,92.08,1.26,0.03,4.49,3.68,0.32,9.96,3.58,0.44,9.24,4.45,0.51,10.91,5.64,0.86,14.12,4.45,0.68,10.87,17.11,5.06,32.96
tx10pETCCDI,10.6,10.6,4.04,19.65,9.28,8.82,3.06,16.76,7.86,6.94,2.14,13.45,3.02,0.81,6.48,2.72,0.54,5.92,2.79,0.66,5.92,1.88,0.27,4.38,2.6,0.72,5.46,0.55,0.02,1.56
tx90pETCCDI,10.6,10.6,4.62,18.69,12.27,11.99,5.24,20.15,14.06,14.28,6.25,24.19,25.02,15.32,36.03,25.44,15.67,36.05,26.75,16.69,37.91,29.99,18.71,41.58,27.22,17.55,37.79,45.86,32.35,59.08
txnETCCDI,-1.64,-1.64,-4.21,0.53,-1.48,-1.39,-4.11,0.86,-1.23,-1.12,-3.72,1.22,-0.12,-2.17,1.89,0.16,-2.04,2.17,0.01,-2.06,2.17,0.57,-1.69,2.62,0.36,-1.82,2.22,2.08,-0.22,4.09
txxETCCDI,27.68,27.68,24.43,31.26,27.93,28.05,24.81,31.63,28.32,28.4,24.98,31.9,30.29,26.9,34.06,30.17,26.88,33.79,30.71,27.52,34.37,30.91,27.64,34.56,30.5,26.99,33.83,32.93,29.39,36.55
wsdiETCCDI,4.07,4.47,0.13,16.16,6.17,6.49,0.13,21.23,7.63,10.8,0.13,32.51,35.82,9.52,70.05,36.32,8.85,71.03,40.48,10.7,73.96,50.61,17.04,90.85,43.62,16.47,78.11,104.67,52.92,158.55
