,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,1.96,1.18,3.58,2.26,1.01,5.04,2.7,1.57,4.85,3.08,1.34,6.33,2.5,1.74,3.13,6.4,3.91,10.75
csdiETCCDI,-1.91,0.0,-5.67,-2.3,0.0,-6.66,-2.17,0.0,-6.55,-2.86,0.0,-9.26,-2.35,0.0,-7.35,-3.42,0.0,-12.51
cwdETCCDI,-0.14,0.07,-0.85,0.15,-0.06,0.39,-0.17,-0.18,-0.8,0.04,0.02,0.27,-0.11,0.05,-0.67,-0.12,-0.27,0.04
dtrETCCDI,0.33,0.29,0.34,0.26,0.23,0.23,0.42,0.37,0.44,0.31,0.3,0.33,0.35,0.33,0.33,0.49,0.43,0.49
fdETCCDI,-7.27,-3.19,-10.75,-8.61,-4.43,-13.4,-8.1,-3.92,-12.43,-12.21,-7.0,-17.4,-9.6,-4.97,-13.38,-20.0,-11.28,-28.01
gslETCCDI,9.26,15.13,3.35,11.65,20.0,3.99,10.7,15.83,3.61,16.2,22.86,4.43,13.12,18.34,3.69,25.35,38.88,4.49
idETCCDI,-1.68,-0.03,-3.9,-1.86,-0.06,-4.18,-1.92,-0.06,-4.79,-2.39,-0.06,-6.01,-2.13,-0.06,-5.75,-2.89,-0.06,-8.04
pr,0.62,3.0,6.15,1.15,6.75,6.57,5.18,9.27,8.61,-2.5,-1.32,-6.47,11.89,14.52,20.51,-9.95,-20.54,8.75
prcptotETCCDI,-7.18,1.08,3.08,-1.89,2.01,22.47,-7.91,-6.91,1.66,-3.93,-9.79,1.72,7.45,13.69,21.03,-20.56,-34.83,16.59
r10mmETCCDI,0.92,1.2,1.84,0.96,1.61,1.62,1.4,1.28,2.45,1.31,1.53,2.07,1.72,1.98,2.97,2.16,1.47,3.81
r1mmETCCDI,-5.92,-3.54,-5.96,-5.55,-4.09,-5.5,-7.52,-5.09,-9.06,-7.35,-7.09,-8.88,-4.92,-2.3,-5.79,-15.0,-12.96,-14.99
r20mmETCCDI,0.57,0.21,0.72,0.59,0.34,0.81,0.61,0.3,0.78,0.81,0.42,1.14,0.92,0.46,1.38,1.45,0.89,2.18
r95pETCCDI,17.26,18.3,14.61,19.68,15.57,25.27,20.89,19.0,23.89,26.33,20.82,30.82,28.83,19.76,38.1,47.49,30.95,67.81
r99pETCCDI,9.01,3.6,10.06,11.63,3.22,18.84,9.57,4.24,12.81,13.99,5.19,17.08,14.18,3.31,21.63,25.28,8.38,46.27
rx1dayETCCDI,1.79,1.45,3.12,2.34,1.22,3.9,1.6,1.37,1.93,2.51,1.53,3.25,2.32,1.78,2.62,3.81,2.79,4.91
rx5dayETCCDI,2.52,2.57,2.12,3.03,1.6,3.08,2.55,1.91,0.57,3.24,1.36,5.25,3.01,1.96,4.59,6.29,3.61,8.57
sdiiETCCDI,0.19,0.18,0.27,0.21,0.15,0.28,0.26,0.18,0.35,0.28,0.24,0.35,0.26,0.21,0.42,0.51,0.33,0.73
suETCCDI,18.28,15.75,19.97,19.0,14.55,22.62,22.66,20.72,23.33,26.27,21.63,29.78,21.71,18.93,21.83,48.59,43.12,52.18
tas,1.15,1.25,1.05,1.33,1.33,1.37,1.38,1.49,1.27,1.84,1.8,1.78,1.57,1.7,1.45,3.27,3.15,3.36
tn10pETCCDI,-3.61,-1.52,-6.0,-4.05,-1.9,-6.59,-3.87,-1.47,-6.43,-5.07,-2.26,-8.28,-4.11,-1.67,-6.91,-6.64,-2.79,-10.88
tn90pETCCDI,8.72,6.91,10.27,9.6,7.99,10.29,10.32,8.84,11.01,14.34,11.47,16.73,10.85,9.57,11.5,29.69,23.59,34.3
tnnETCCDI,1.32,2.29,0.67,1.64,2.68,0.91,1.48,2.54,0.78,2.3,3.88,1.29,2.08,3.57,1.0,3.6,5.66,2.44
tnxETCCDI,1.78,1.64,2.02,1.87,1.99,1.82,2.16,2.19,2.26,2.62,2.47,2.72,2.05,1.92,1.84,4.96,4.43,5.3
trETCCDI,5.21,1.34,9.71,5.32,1.54,9.71,6.83,2.23,10.84,8.88,2.86,15.99,6.34,2.04,10.73,24.96,9.63,41.02
tx10pETCCDI,-3.89,-1.37,-6.47,-4.23,-1.73,-6.99,-4.29,-1.49,-7.5,-5.15,-2.11,-8.28,-4.4,-1.59,-7.32,-6.67,-2.5,-11.39
tx90pETCCDI,9.22,6.47,9.93,9.53,7.48,10.5,11.1,9.04,11.86,13.69,9.85,16.11,11.2,9.22,11.87,28.46,22.27,32.82
txnETCCDI,1.17,1.92,0.98,1.43,1.82,1.28,1.33,2.12,1.13,2.03,2.83,1.77,1.84,2.82,1.58,3.52,4.27,3.42
txxETCCDI,2.3,2.34,2.31,2.08,2.15,2.0,2.71,2.83,2.4,3.04,3.05,3.17,2.41,2.54,2.22,5.56,5.42,5.84
wsdiETCCDI,18.72,5.3,28.18,19.46,6.82,29.99,23.33,8.24,33.52,30.6,10.79,49.9,24.74,10.34,36.01,78.54,41.86,112.05
