,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,-3.44,-2.13,-4.31,-1.94,-0.05,-2.98,-5.25,-1.77,-5.47,-3.56,-0.26,-6.91,-4.96,-0.78,-5.25,-7.4,-2.98,-8.11
csdiETCCDI,-2.49,0.0,-9.03,-2.5,0.0,-9.06,-2.7,0.0,-9.81,-2.74,0.0,-9.87,-2.5,0.0,-8.39,-3.27,0.0,-13.42
cwdETCCDI,0.57,0.31,0.78,0.68,0.46,0.79,0.86,0.49,1.07,0.67,0.48,0.48,0.89,0.7,0.28,1.39,1.02,1.8
dtrETCCDI,-0.14,-0.04,-0.23,-0.34,-0.22,-0.47,-0.09,0.02,-0.19,-0.39,-0.23,-0.5,-0.06,0.04,-0.14,-0.61,-0.45,-0.76
fdETCCDI,-11.85,-10.79,-12.49,-10.3,-10.25,-10.31,-14.36,-13.77,-14.66,-15.35,-15.91,-14.44,-15.34,-14.22,-14.9,-32.05,-33.1,-30.02
gslETCCDI,11.59,11.02,11.74,9.23,9.36,8.4,13.99,12.92,14.82,13.79,14.19,14.49,15.11,14.83,13.54,29.15,27.18,29.93
idETCCDI,-13.17,-9.36,-15.81,-11.81,-8.36,-13.88,-15.54,-11.52,-18.89,-15.64,-11.63,-18.21,-16.38,-13.63,-17.65,-29.65,-22.09,-34.09
pr,76.87,51.3,93.45,65.19,55.89,84.89,86.62,76.18,105.77,81.76,78.09,102.08,98.56,73.57,117.44,152.22,129.08,175.27
prcptotETCCDI,70.75,36.86,81.41,62.6,46.19,76.42,83.37,56.4,108.29,81.42,77.34,110.79,95.76,50.03,98.14,161.83,130.73,197.72
r10mmETCCDI,2.42,1.66,2.43,1.95,1.6,1.82,2.84,2.17,3.32,2.47,2.48,2.3,2.99,2.34,2.33,4.64,4.51,4.59
r1mmETCCDI,3.81,2.46,5.3,2.39,2.91,2.69,4.38,4.29,5.55,2.45,2.47,2.59,4.95,4.46,5.19,6.25,6.5,6.56
r20mmETCCDI,1.07,0.17,1.18,1.01,0.62,1.47,1.27,0.4,1.69,1.34,0.97,1.48,1.43,0.62,1.54,2.59,1.88,3.16
r95pETCCDI,38.03,21.49,52.47,39.67,18.35,64.33,43.93,25.53,68.77,54.2,29.67,93.38,53.6,23.99,71.84,105.15,62.08,143.06
r99pETCCDI,15.8,1.46,37.39,20.61,1.2,26.11,21.43,2.11,39.84,29.6,2.69,46.41,29.14,2.84,60.35,63.83,15.08,94.71
rx1dayETCCDI,4.78,1.77,4.18,6.32,2.23,6.66,6.84,3.7,9.09,9.59,4.52,11.1,8.52,3.04,11.34,18.5,9.66,24.55
rx5dayETCCDI,9.6,2.88,11.83,11.92,6.29,8.61,13.58,6.91,20.99,17.08,9.26,18.79,15.95,7.98,17.59,30.76,17.63,34.4
sdiiETCCDI,0.51,0.3,0.54,0.65,0.4,0.85,0.64,0.31,0.93,0.88,0.64,1.09,0.74,0.35,0.62,1.51,1.18,1.55
suETCCDI,17.98,18.35,16.75,13.45,13.95,11.76,22.32,24.0,20.2,20.28,21.53,20.03,24.34,27.25,20.72,38.17,40.41,36.14
tas,1.54,1.51,1.52,1.41,1.39,1.51,1.95,2.04,1.92,2.06,2.03,2.15,2.23,2.24,2.18,3.98,3.85,4.1
tn10pETCCDI,-5.26,-2.46,-8.75,-4.96,-2.5,-8.09,-5.76,-2.62,-9.88,-6.06,-2.97,-9.63,-5.88,-2.76,-9.16,-7.81,-3.35,-13.2
tn90pETCCDI,15.4,11.57,19.33,13.1,8.96,17.28,18.96,16.47,21.39,20.36,15.31,25.8,20.58,17.52,22.34,44.5,37.96,49.31
tnnETCCDI,1.92,2.03,1.76,1.83,2.28,1.71,2.23,2.57,2.24,2.53,2.64,2.45,2.26,2.18,2.13,5.28,5.56,5.21
tnxETCCDI,1.52,1.57,1.7,1.3,1.46,1.44,1.87,1.98,2.15,1.96,2.17,2.1,2.13,2.22,2.54,3.85,3.9,4.13
trETCCDI,19.95,20.42,19.94,17.3,17.25,17.49,23.44,24.74,21.68,25.13,24.22,25.02,24.96,26.26,23.13,48.45,48.11,46.94
tx10pETCCDI,-4.32,-2.52,-6.49,-3.81,-2.37,-5.69,-5.06,-2.86,-7.52,-5.05,-3.19,-7.0,-5.36,-3.29,-7.92,-7.67,-4.51,-11.52
tx90pETCCDI,9.46,6.78,11.82,6.33,4.89,8.26,11.95,9.28,14.39,10.35,7.54,13.33,13.2,10.82,15.68,25.05,20.07,29.42
txnETCCDI,1.68,2.09,1.34,1.59,2.16,0.99,2.09,2.52,1.67,2.34,2.98,1.79,2.11,2.53,1.88,4.55,5.01,3.95
txxETCCDI,1.48,1.54,1.55,0.92,0.96,1.04,1.82,1.83,1.83,1.62,2.01,1.43,1.98,2.03,1.61,3.44,3.74,3.25
wsdiETCCDI,14.03,2.32,25.64,8.78,0.79,16.98,18.49,5.17,31.82,15.5,2.53,28.65,19.97,5.59,32.51,53.29,21.82,80.84
