,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
suETCCDI,365.23,36.6,19.26,55.58,365.27,38.79,21.23,57.38,365.23,41.64,23.14,61.61,59.92,38.89,81.58,60.64,37.69,84.23,64.3,43.86,84.94,67.91,44.77,91.39,63.35,42.07,83.44,90.23,66.26,113.79
tas,11.06,11.13,10.17,12.11,11.31,11.29,10.33,12.26,11.59,11.58,10.53,12.65,12.73,11.78,13.7,12.91,11.87,14.02,12.97,12.02,13.92,13.42,12.34,14.43,13.15,12.23,14.1,14.85,13.68,16.01
tn10pETCCDI,10.47,10.58,5.32,17.33,9.68,9.22,4.05,15.81,8.75,7.7,2.95,13.65,4.09,1.43,7.64,3.65,1.06,7.06,3.83,1.48,7.22,2.63,0.69,5.37,3.58,1.27,6.74,1.03,0.08,2.77
tn90pETCCDI,10.63,10.57,5.37,17.28,11.84,11.59,6.17,18.27,13.45,13.55,6.98,21.73,22.28,13.89,32.0,23.15,14.97,32.02,23.87,15.82,32.74,27.9,18.45,38.46,24.4,16.56,33.23,43.24,30.57,56.03
tnnETCCDI,-7.32,-6.85,-12.28,-3.07,-7.16,-6.46,-11.65,-2.86,-7.41,-5.98,-11.16,-2.58,-4.65,-8.88,-1.9,-4.33,-8.48,-1.66,-4.49,-8.62,-1.79,-3.67,-7.28,-1.28,-3.9,-7.59,-1.58,-2.37,-5.5,-0.14
tnxETCCDI,19.33,20.26,17.84,22.92,19.68,20.54,18.19,23.26,20.12,20.79,18.31,23.47,22.57,19.95,25.49,22.66,20.3,25.29,22.95,20.5,25.73,23.41,20.78,26.19,22.84,20.23,25.31,25.75,22.74,28.77
trETCCDI,92.08,1.92,0.06,6.16,92.12,2.1,0.06,6.65,92.08,2.79,0.08,8.56,8.0,1.42,18.27,8.11,1.62,18.27,9.62,2.31,19.4,11.67,2.94,24.55,9.13,2.12,19.29,27.75,9.71,49.58
tx10pETCCDI,10.66,10.67,4.61,18.09,9.57,9.25,3.57,16.8,8.26,7.64,2.57,13.96,3.75,1.19,7.49,3.4,0.83,6.98,3.34,1.07,6.47,2.49,0.45,5.68,3.23,0.97,6.65,0.96,0.05,2.58
tx90pETCCDI,10.61,10.62,5.24,17.86,12.4,11.54,5.76,18.56,14.1,13.32,6.61,22.01,22.54,13.08,31.94,22.85,14.09,32.52,24.42,15.66,33.88,27.01,16.46,38.12,24.52,15.83,33.88,41.79,28.89,54.83
txnETCCDI,-2.44,-1.63,-5.41,1.4,-2.0,-1.33,-5.4,1.76,-1.98,-0.99,-4.91,2.15,0.18,-2.99,3.12,0.44,-3.09,3.43,0.34,-2.79,3.28,1.03,-2.08,3.92,0.85,-2.09,3.72,2.53,-0.65,5.57
txxETCCDI,29.33,33.93,30.59,37.14,29.58,34.15,30.94,37.23,30.05,34.52,31.09,37.89,36.81,33.43,40.19,36.6,33.23,39.89,37.23,33.92,40.29,37.56,34.14,41.05,36.93,33.63,40.11,40.08,36.51,43.73
wsdiETCCDI,5.6,5.03,0.0,16.93,7.7,6.51,0.0,19.4,9.5,9.91,0.0,28.62,28.68,5.39,56.79,29.42,6.99,58.6,33.29,8.34,62.14,40.56,10.97,78.52,34.7,10.46,64.62,88.51,42.04,140.66
