,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,21.89,23.66,14.45,37.07,21.68,23.81,14.82,36.35,20.66,24.2,15.14,37.45,26.77,16.68,42.0,27.02,16.29,43.68,27.67,17.11,43.36,27.95,16.66,45.05,27.39,17.35,41.25,31.96,19.86,50.1
csdiETCCDI,4.97,4.78,0.0,17.42,5.33,4.37,0.0,16.03,6.07,3.9,0.0,14.43,1.87,0.0,8.76,1.47,0.0,7.77,1.62,0.0,7.88,0.89,0.0,5.04,1.44,0.0,7.05,0.27,0.0,1.57
cwdETCCDI,13.44,11.76,7.95,16.93,12.84,11.91,8.08,16.94,12.03,11.94,8.14,17.39,11.86,8.24,16.7,12.12,8.11,17.83,11.84,8.0,16.78,12.01,8.18,17.67,11.84,8.2,16.83,11.84,7.86,17.55
dtrETCCDI,6.67,7.34,6.77,7.92,6.74,7.36,6.8,7.93,6.83,7.39,6.85,7.98,7.72,7.14,8.32,7.65,7.08,8.2,7.81,7.23,8.42,7.7,7.15,8.3,7.73,7.18,8.31,7.88,7.28,8.47
fdETCCDI,0.0,36.03,19.94,56.27,0.0,33.16,17.15,53.27,0.0,30.04,13.44,50.32,22.77,10.25,39.57,21.43,9.01,36.92,21.94,9.52,37.89,17.83,6.44,32.92,20.44,8.47,36.94,10.04,2.16,22.31
gslETCCDI,365.23,318.74,275.4,355.42,365.27,323.34,282.23,358.81,365.23,327.89,288.73,359.93,337.15,303.86,363.28,339.54,308.73,363.92,338.59,304.56,363.54,344.09,311.59,364.36,341.01,307.07,363.62,353.24,327.61,364.42
idETCCDI,0.0,4.27,0.16,11.75,0.0,3.85,0.08,11.0,0.0,3.32,0.06,10.02,1.64,0.03,6.12,1.46,0.0,5.84,1.4,0.0,5.23,0.93,0.0,4.01,1.19,0.0,4.27,0.43,0.0,1.98
pr,728.47,830.74,656.94,1003.82,734.83,834.08,653.55,1012.84,752.73,839.76,662.62,1017.68,841.12,666.62,1021.54,840.7,670.87,1023.05,846.65,673.71,1024.92,836.6,662.2,1007.98,853.53,677.53,1040.08,827.74,637.97,1026.55
prcptotETCCDI,783.01,766.4,593.01,946.56,812.43,775.31,594.64,950.52,814.89,782.12,603.53,955.71,777.63,605.59,957.86,781.44,606.67,975.4,776.55,596.93,956.74,778.66,595.31,955.46,790.46,615.41,975.04,762.54,568.73,971.4
r10mmETCCDI,18.67,18.97,11.88,26.67,21.11,19.41,11.94,27.14,22.41,19.76,12.23,27.28,20.63,13.27,28.84,20.66,13.7,28.51,21.02,13.24,29.3,20.91,13.58,28.91,21.3,13.92,29.77,21.63,13.46,30.55
r1mmETCCDI,142.33,147.38,122.8,171.26,143.95,147.54,122.29,171.93,141.62,147.55,121.73,172.92,141.81,118.51,167.07,142.08,117.93,167.43,140.1,116.67,163.61,140.1,114.54,163.93,142.68,119.58,167.01,132.09,108.16,157.58
r20mmETCCDI,2.78,2.57,0.6,5.26,2.89,2.67,0.54,5.39,3.21,2.73,0.7,5.24,3.19,0.91,5.81,3.23,0.96,5.97,3.21,0.93,5.89,3.38,1.01,6.17,3.43,1.04,6.32,3.86,1.36,6.99
r95pETCCDI,133.03,145.51,64.14,240.02,146.08,151.2,66.82,253.49,157.17,155.01,68.26,255.2,172.24,86.37,269.64,174.12,83.24,280.35,175.61,85.92,278.56,180.42,87.93,285.19,182.94,87.06,292.48,200.6,97.68,321.51
r99pETCCDI,30.8,41.43,2.57,97.15,36.93,44.12,2.99,102.87,40.45,45.28,3.5,105.42,55.69,8.13,116.47,58.25,7.46,126.36,55.94,8.77,119.38,61.23,10.06,125.09,60.91,7.72,129.63,73.63,13.51,157.28
rx1dayETCCDI,29.22,27.79,19.96,37.42,29.21,28.32,20.13,39.33,30.53,28.5,20.29,40.15,30.24,21.68,43.38,30.71,21.39,43.8,29.99,21.5,42.03,30.85,21.64,43.13,30.64,21.92,42.49,32.1,22.81,44.84
rx5dayETCCDI,59.84,57.27,42.45,77.53,62.25,58.27,43.4,78.81,62.35,59.16,44.5,79.9,61.56,46.92,81.87,62.0,45.93,82.61,61.58,46.25,80.23,62.21,45.71,84.64,61.94,46.28,83.84,65.13,47.74,87.96
sdiiETCCDI,5.48,5.19,4.58,5.9,5.62,5.25,4.6,5.92,5.74,5.29,4.64,5.94,5.47,4.81,6.19,5.5,4.78,6.19,5.53,4.81,6.26,5.56,4.86,6.26,5.54,4.83,6.32,5.77,4.95,6.61
