,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,-0.69,1.28,-3.21,-1.15,0.55,-2.41,0.32,2.18,-1.81,-1.05,1.28,-1.98,-1.04,0.52,-4.22,-3.5,-0.16,-6.75
csdiETCCDI,4.9,5.59,-0.56,5.18,5.27,0.33,3.65,4.53,-2.89,2.72,3.02,-3.64,2.64,3.86,-4.06,-2.03,0.0,-9.67
cwdETCCDI,0.25,0.03,1.96,-0.22,0.08,0.29,1.22,1.18,3.61,-0.48,-0.36,-1.16,0.76,1.07,1.59,0.23,-0.48,0.45
dtrETCCDI,0.13,0.09,0.16,0.04,0.03,0.03,0.12,0.08,0.12,-0.01,-0.01,-0.04,0.11,0.07,0.12,-0.27,-0.31,-0.25
fdETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gslETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr,51.55,35.42,92.09,73.43,50.55,108.68,69.41,40.11,99.25,118.23,72.33,167.53,109.22,82.76,158.32,237.07,172.43,324.71
prcptotETCCDI,37.33,25.54,58.08,59.19,67.1,76.0,56.57,41.41,69.88,83.18,75.75,105.63,66.74,75.22,79.1,212.69,160.7,277.49
r10mmETCCDI,1.29,0.66,1.27,2.03,2.25,2.27,2.13,1.53,1.89,2.98,2.71,3.49,2.81,3.23,2.5,7.81,6.61,8.82
r1mmETCCDI,2.61,3.1,2.58,4.13,4.57,3.27,3.92,2.93,3.96,4.42,5.52,3.77,5.06,5.52,4.15,9.37,8.01,10.73
r20mmETCCDI,0.46,0.55,-0.21,0.76,1.12,0.79,0.67,0.99,0.3,1.36,1.29,1.71,0.8,1.01,0.72,3.8,3.29,4.36
r95pETCCDI,33.49,19.97,26.35,38.66,26.08,45.51,38.48,26.8,41.16,64.88,35.83,85.71,44.52,33.08,61.05,172.89,111.93,228.13
r99pETCCDI,21.73,8.35,35.65,23.64,10.13,43.49,23.21,9.31,43.27,38.69,14.41,68.29,26.11,8.4,57.17,108.48,47.7,187.15
rx1dayETCCDI,2.43,2.03,3.24,3.22,2.89,5.03,2.81,2.31,4.95,4.13,3.31,5.74,3.23,2.0,5.81,11.42,8.12,17.8
rx5dayETCCDI,3.38,1.75,4.4,5.18,3.33,8.89,4.07,4.8,2.74,6.23,5.02,5.71,6.13,4.7,5.53,19.97,13.67,27.92
sdiiETCCDI,0.15,0.19,0.05,0.22,0.35,0.27,0.22,0.28,0.08,0.37,0.37,0.47,0.27,0.44,0.03,0.99,0.9,1.08
suETCCDI,44.34,46.55,39.31,45.43,47.83,43.0,52.44,62.87,45.53,65.5,68.28,58.91,52.83,59.49,44.56,109.83,124.25,92.24
tas,0.99,0.9,1.07,1.03,0.94,1.2,1.23,1.26,1.19,1.51,1.36,1.7,1.35,1.38,1.39,2.96,2.75,3.19
tn10pETCCDI,-2.75,0.45,-7.22,-2.83,0.35,-6.96,-3.49,0.09,-8.74,-4.08,-0.56,-9.42,-3.71,-0.04,-8.98,-6.0,-1.6,-12.31
tn90pETCCDI,25.72,19.11,27.59,28.19,19.25,33.25,31.01,27.02,31.56,41.66,32.34,46.42,31.58,27.54,32.23,67.8,66.39,61.69
tnnETCCDI,0.94,0.92,1.05,1.06,0.96,1.31,1.16,1.2,1.22,1.63,1.43,1.86,1.16,1.05,1.24,3.4,3.05,3.7
tnxETCCDI,0.9,0.92,0.97,0.97,0.86,1.14,1.1,1.16,1.16,1.51,1.36,1.77,1.14,1.22,1.18,3.01,2.76,3.21
trETCCDI,18.29,10.92,24.77,19.51,8.39,30.36,25.3,19.18,30.14,40.89,24.77,60.65,26.7,20.05,32.54,115.83,88.84,142.67
tx10pETCCDI,-4.43,-2.49,-7.07,-4.48,-2.58,-7.35,-4.96,-2.63,-8.12,-5.53,-3.08,-9.02,-5.04,-2.73,-8.11,-7.25,-3.73,-12.23
tx90pETCCDI,20.27,14.3,23.58,20.45,13.89,25.41,24.2,20.21,26.66,30.28,21.78,34.84,24.65,19.32,27.91,50.62,45.14,50.39
txnETCCDI,0.86,0.78,0.9,0.93,0.81,1.09,1.02,0.91,1.09,1.34,1.18,1.51,1.08,1.08,1.05,2.55,2.39,2.64
txxETCCDI,1.5,1.38,1.76,1.46,1.34,1.82,1.74,1.61,2.03,1.95,1.72,2.06,1.77,1.58,2.09,3.48,3.11,3.89
wsdiETCCDI,55.5,25.28,83.72,57.19,24.32,92.87,69.49,41.03,95.89,92.64,43.88,134.7,71.94,38.99,103.53,176.9,129.01,205.2
