,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,25.67,21.59,13.82,32.34,25.16,21.81,14.2,32.97,24.41,22.19,14.48,33.32,23.62,15.17,35.84,23.42,15.45,34.38,24.16,15.33,37.36,23.82,15.71,35.63,23.4,15.15,34.32,26.88,16.76,42.38
csdiETCCDI,2.7,4.8,0.0,18.5,1.97,3.98,0.0,14.22,2.4,3.03,0.0,11.11,1.26,0.0,5.97,0.85,0.0,5.21,1.2,0.0,5.59,0.47,0.0,3.05,0.97,0.0,4.77,0.07,0.0,0.26
cwdETCCDI,7.22,9.72,6.8,13.97,7.89,9.82,6.85,14.23,7.52,9.96,6.97,14.35,9.93,6.84,14.05,9.9,6.69,13.99,9.89,6.66,14.13,9.91,6.86,14.31,9.93,6.67,14.33,9.61,6.63,13.52
dtrETCCDI,6.73,5.37,4.94,5.82,6.81,5.4,4.95,5.84,6.8,5.41,4.97,5.86,5.63,5.22,6.08,5.59,5.15,6.02,5.7,5.28,6.17,5.61,5.15,6.08,5.64,5.21,6.09,5.73,5.25,6.18
fdETCCDI,0.0,28.56,14.04,46.65,0.0,26.1,12.19,43.16,0.0,22.69,9.97,40.28,16.8,7.6,29.83,15.47,5.99,27.51,16.06,6.98,28.67,12.52,4.31,24.04,14.98,5.91,26.85,6.26,1.34,14.02
gslETCCDI,365.23,313.74,269.59,350.96,365.27,317.97,274.65,351.42,365.23,323.73,278.88,356.38,335.45,301.51,359.89,337.36,300.43,361.96,336.14,300.19,361.2,342.64,309.43,363.03,336.52,302.92,361.55,352.88,330.84,364.39
idETCCDI,0.0,3.24,0.05,10.11,0.0,2.92,0.06,9.26,0.0,2.33,0.11,7.54,1.07,0.0,3.87,0.87,0.0,3.66,0.97,0.0,3.62,0.56,0.0,2.49,0.7,0.0,2.48,0.13,0.0,0.63
pr,666.07,748.54,604.26,893.96,677.33,751.74,600.84,904.54,696.43,762.71,609.54,921.21,772.25,613.21,935.97,770.98,615.27,947.75,773.13,615.36,936.26,780.14,608.08,958.02,790.34,635.77,949.59,782.72,629.7,958.84
prcptotETCCDI,642.53,681.63,532.83,821.87,658.05,684.56,533.8,838.56,657.45,696.9,542.86,860.95,704.72,537.99,878.58,711.2,552.24,895.06,703.37,539.76,869.94,718.2,545.08,898.06,719.52,556.05,881.81,714.02,555.32,894.44
r10mmETCCDI,17.56,15.0,9.11,20.99,17.58,15.22,9.25,22.01,17.97,15.92,9.8,23.03,17.03,10.94,23.81,17.4,10.75,24.85,17.3,11.01,24.04,18.03,11.14,25.86,17.63,10.81,24.49,18.77,12.18,26.73
r1mmETCCDI,112.0,141.55,118.11,164.42,112.58,141.22,117.92,165.77,113.83,141.31,117.55,166.27,137.58,114.13,162.03,138.11,116.36,163.15,136.58,113.31,159.16,137.33,113.17,160.81,139.17,115.66,161.47,130.52,107.89,153.83
r20mmETCCDI,2.78,1.79,0.28,3.8,3.0,1.82,0.31,3.76,2.69,1.99,0.33,4.15,2.37,0.52,4.79,2.48,0.63,5.03,2.46,0.5,4.89,2.62,0.73,4.99,2.65,0.64,5.22,3.21,1.1,5.96
r95pETCCDI,122.44,129.04,57.25,213.17,140.02,130.83,59.06,216.41,126.08,140.14,66.32,236.75,161.19,85.07,253.81,164.27,82.19,258.32,163.66,78.62,262.0,173.85,89.11,272.07,170.12,85.22,268.17,195.86,105.27,306.8
r99pETCCDI,47.79,37.42,0.85,89.46,48.85,38.11,1.38,89.31,37.32,41.73,2.26,98.23,54.56,8.83,120.01,54.19,5.7,115.27,54.9,8.6,117.86,57.67,8.74,121.35,58.77,8.93,123.4,75.36,19.94,146.35
rx1dayETCCDI,32.7,26.15,18.67,36.38,33.27,26.14,18.72,37.18,30.71,26.53,19.04,37.18,28.61,20.32,41.14,28.99,20.06,42.48,28.7,20.06,42.05,29.24,20.81,42.27,29.66,20.78,43.11,32.03,22.43,46.19
rx5dayETCCDI,58.38,51.33,37.88,71.27,56.52,50.83,37.92,69.3,55.54,52.25,38.59,70.9,55.61,39.85,76.34,57.1,41.21,80.92,55.42,40.58,76.61,57.0,42.02,77.75,57.12,40.97,78.01,59.85,43.7,80.69
sdiiETCCDI,5.74,4.82,4.23,5.43,5.84,4.85,4.25,5.48,5.76,4.93,4.33,5.6,5.12,4.5,5.79,5.16,4.5,5.86,5.15,4.49,5.81,5.23,4.58,5.9,5.18,4.55,5.84,5.48,4.81,6.23
suETCCDI,365.23,10.59,3.14,21.11,365.27,11.68,3.97,22.45,365.23,13.13,4.15,25.27,22.64,8.97,40.13,22.43,9.46,38.38,25.19,11.07,41.58,26.73,12.69,44.94,23.8,9.85,39.36,45.16,21.6,69.27
tas,9.59,10.13,9.22,11.03,9.95,10.29,9.4,11.22,10.3,10.58,9.61,11.53,11.59,10.7,12.47,11.74,10.81,12.71,11.78,10.91,12.67,12.17,11.21,13.06,11.94,11.12,12.79,13.44,12.42,14.45
tn10pETCCDI,10.55,10.59,4.64,18.84,9.62,8.99,3.47,16.27,8.26,7.2,2.53,13.32,3.56,1.19,7.06,3.17,0.94,6.34,3.38,1.07,6.35,2.23,0.53,4.67,3.2,1.1,5.96,0.76,0.06,1.89
tn90pETCCDI,10.47,10.56,5.02,17.64,11.8,12.09,5.66,19.86,13.87,14.68,6.93,24.24,25.21,16.35,35.2,26.03,16.44,35.72,26.53,17.0,36.65,31.21,20.64,42.72,27.54,18.64,37.04,47.35,34.84,59.32
tnnETCCDI,-5.86,-4.42,-8.59,-1.46,-5.52,-4.03,-7.98,-1.28,-5.26,-3.61,-7.0,-1.08,-2.46,-5.43,-0.46,-2.2,-5.15,-0.36,-2.34,-5.11,-0.32,-1.73,-4.46,0.08,-2.04,-4.82,-0.37,-0.41,-2.21,1.27
tnxETCCDI,17.7,18.51,16.5,20.7,17.83,18.78,16.74,20.98,18.14,19.07,16.91,21.54,20.52,18.26,23.22,20.64,18.27,23.41,20.82,18.64,23.39,21.19,18.87,23.93,20.8,18.72,23.32,23.0,20.49,25.96
trETCCDI,92.08,0.72,0.0,2.39,92.12,0.82,0.0,2.6,92.08,1.26,0.03,4.49,3.68,0.32,9.96,3.58,0.44,9.24,4.45,0.51,10.91,5.64,0.86,14.12,4.45,0.68,10.87,17.11,5.06,32.96
tx10pETCCDI,10.6,10.67,4.11,19.72,9.28,8.9,3.13,16.83,7.86,7.01,2.21,13.52,3.09,0.86,6.55,2.78,0.58,5.99,2.85,0.7,5.99,1.93,0.3,4.45,2.66,0.77,5.53,0.59,0.02,1.64
tx90pETCCDI,10.6,10.61,4.63,18.7,12.27,12.0,5.25,20.16,14.06,14.29,6.26,24.2,25.03,15.33,36.04,25.45,15.68,36.06,26.76,16.71,37.92,30.0,18.72,41.59,27.23,17.56,37.8,45.87,32.36,59.09
txnETCCDI,-1.64,-0.37,-2.95,1.8,-1.48,-0.12,-2.84,2.13,-1.23,0.15,-2.46,2.49,1.15,-0.9,3.16,1.43,-0.77,3.43,1.28,-0.8,3.43,1.83,-0.43,3.89,1.63,-0.56,3.48,3.35,1.04,5.36
txxETCCDI,27.68,28.56,25.32,32.14,27.93,28.93,25.7,32.52,28.32,29.28,25.87,32.79,31.18,27.78,34.95,31.05,27.76,34.67,31.6,28.41,35.26,31.79,28.52,35.44,31.38,27.87,34.71,33.82,30.28,37.44
wsdiETCCDI,4.07,4.84,0.0,16.94,6.17,6.94,0.0,22.01,7.63,11.34,0.0,33.28,36.56,10.01,70.82,37.06,9.46,71.81,41.22,11.31,74.73,51.37,17.67,91.62,44.37,17.04,78.89,105.45,53.7,159.32
