,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,0.02,-0.31,-1.32,-0.4,-0.24,-1.62,0.03,-0.21,-0.51,0.14,0.31,-0.46,-0.44,-0.3,-0.24,1.58,0.84,3.44
csdiETCCDI,-1.14,0.0,-6.21,-1.02,0.0,-5.57,-1.22,0.0,-6.58,-1.25,0.0,-6.73,-1.23,0.0,-6.66,-1.27,0.0,-6.77
cwdETCCDI,0.09,0.12,-0.52,-0.11,0.25,-0.72,0.12,0.35,-0.11,-0.07,0.33,-0.7,0.71,0.29,1.09,0.03,0.14,-0.37
dtrETCCDI,-0.02,-0.1,-0.03,-0.1,-0.11,-0.18,-0.06,-0.15,-0.07,-0.16,-0.14,-0.21,-0.09,-0.09,-0.11,-0.38,-0.34,-0.39
fdETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gslETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi27,48.24,51.45,47.25,54.44,53.37,54.79,55.3,60.96,50.61,75.21,77.58,73.36,58.0,63.41,56.53,127.43,138.1,113.22
hi32,14.35,3.97,24.43,18.41,3.04,36.81,17.51,5.97,29.32,33.46,10.83,56.1,18.25,6.56,30.82,110.58,63.04,152.35
hi41,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.2
hi54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr,60.67,33.65,87.87,66.76,58.25,100.58,78.85,46.47,119.96,103.21,62.4,163.87,127.56,77.43,179.03,204.17,139.96,269.11
prcptotETCCDI,33.82,22.59,33.26,26.11,46.21,16.97,52.37,30.28,69.13,43.63,37.78,41.78,77.0,71.55,77.56,118.83,102.06,116.38
r10mmETCCDI,1.66,0.61,1.44,1.19,1.43,1.69,2.49,1.13,3.32,2.26,1.94,2.99,3.58,2.36,4.38,6.67,5.12,7.23
r1mmETCCDI,2.27,0.77,4.29,1.31,2.91,-0.02,3.47,2.46,5.4,1.69,1.81,0.36,4.88,3.86,4.07,3.78,4.03,2.58
r20mmETCCDI,1.58,0.48,2.26,1.22,0.98,1.84,1.81,0.47,1.97,2.01,1.25,2.08,1.95,1.2,2.33,4.48,2.45,5.14
r95pETCCDI,25.9,14.55,31.53,26.94,24.92,41.31,34.09,17.87,42.64,42.9,31.56,53.82,46.83,29.39,54.5,111.66,71.91,144.52
r99pETCCDI,15.26,5.52,27.77,17.06,6.41,37.01,18.14,4.16,34.53,24.91,7.46,48.23,27.09,8.58,43.91,67.8,24.33,113.79
rx1dayETCCDI,3.3,2.58,7.96,3.9,3.0,6.36,3.11,2.85,7.88,5.39,3.57,8.5,4.58,3.8,6.75,11.36,8.61,15.82
rx5dayETCCDI,4.76,4.42,3.92,4.83,5.64,7.03,5.05,4.7,4.94,6.89,6.02,10.33,7.01,8.89,4.0,15.98,13.51,17.13
sdiiETCCDI,0.17,0.13,0.1,0.2,0.27,0.14,0.27,0.18,0.24,0.35,0.38,0.33,0.41,0.38,0.27,0.95,0.8,0.89
suETCCDI,28.88,29.58,28.1,31.05,32.59,30.38,33.67,36.8,30.81,46.08,47.12,42.8,34.11,39.9,31.44,85.49,96.0,75.84
tas,0.99,0.91,1.03,1.06,0.91,1.16,1.19,1.21,1.14,1.55,1.41,1.64,1.33,1.34,1.28,3.0,2.78,3.17
tn10pETCCDI,-5.27,-1.56,-10.0,-5.29,-1.55,-9.96,-5.7,-1.66,-11.19,-6.12,-1.73,-11.91,-5.67,-1.65,-11.06,-6.62,-1.74,-13.44
tn90pETCCDI,29.76,23.82,28.78,33.56,23.79,37.52,35.65,32.04,34.35,48.29,40.7,48.93,36.26,32.74,33.76,74.34,76.87,64.23
tnnETCCDI,1.04,1.0,0.98,1.15,0.97,1.19,1.25,1.23,1.19,1.74,1.62,1.83,1.25,1.28,1.15,3.53,3.31,3.64
tnxETCCDI,0.96,0.95,1.0,1.05,0.96,1.14,1.13,1.14,1.16,1.57,1.45,1.78,1.1,1.16,1.0,3.05,2.91,3.15
trETCCDI,20.79,17.32,23.54,23.68,17.46,30.17,25.15,22.31,26.22,38.3,28.45,47.51,25.18,21.97,26.3,104.42,76.23,132.7
tx10pETCCDI,-4.43,-2.57,-6.57,-4.54,-2.48,-7.67,-4.9,-2.65,-7.57,-5.64,-3.01,-9.24,-4.97,-2.77,-8.18,-7.34,-3.69,-12.48
tx90pETCCDI,19.67,13.8,23.3,21.06,13.0,26.03,22.98,17.74,25.25,30.45,22.62,34.02,23.46,18.33,27.13,51.79,46.26,52.02
txnETCCDI,0.81,0.87,0.74,0.89,0.91,0.84,0.99,1.02,0.88,1.35,1.34,1.35,1.03,1.01,0.93,2.61,2.56,2.56
txxETCCDI,1.2,1.02,1.39,1.25,1.06,1.3,1.3,1.11,1.43,1.79,1.53,1.79,1.34,1.19,1.43,3.2,2.98,3.3
wsdiETCCDI,51.6,22.38,78.01,58.06,22.57,92.22,63.94,36.4,91.86,92.91,46.7,128.86,68.1,39.33,96.68,186.26,138.36,215.03
