,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,24.33,25.04,15.83,39.55,23.53,25.8,15.67,40.78,23.79,26.56,16.41,41.98,27.52,16.59,43.33,28.09,17.44,42.69,27.1,16.83,42.31,29.35,17.8,45.13,26.55,16.84,39.82,29.75,18.15,47.83
csdiETCCDI,1.43,4.09,0.0,14.7,2.07,4.21,0.0,13.95,1.27,3.44,0.0,12.12,0.68,0.0,3.45,0.92,0.0,4.54,0.49,0.0,2.15,0.59,0.0,3.02,0.4,0.0,1.49,0.15,0.0,0.77
cwdETCCDI,9.67,13.11,9.07,18.96,10.89,12.93,8.83,18.44,10.48,12.83,8.84,18.38,13.02,8.76,19.48,12.67,8.72,18.52,13.04,9.09,18.82,12.74,8.79,18.57,13.29,9.36,18.78,12.65,8.83,17.92
dtrETCCDI,6.98,5.19,4.84,5.53,6.96,5.16,4.8,5.52,7.05,5.13,4.78,5.51,5.21,4.84,5.59,5.17,4.82,5.52,5.24,4.89,5.61,5.18,4.8,5.55,5.21,4.88,5.59,5.24,4.91,5.6
fdETCCDI,0.0,20.18,11.66,30.15,0.0,20.1,12.02,30.48,0.0,19.27,10.99,29.02,12.58,5.84,21.07,13.47,6.34,21.42,11.51,5.06,19.07,11.43,5.17,18.97,10.66,5.17,17.96,6.41,2.26,11.91
gslETCCDI,365.23,340.43,317.92,358.98,365.27,340.49,316.88,359.06,365.23,342.17,318.19,360.22,352.82,335.91,363.69,351.61,335.83,363.15,354.4,337.49,364.04,353.95,338.39,363.6,354.69,339.66,363.22,360.23,351.71,364.42
idETCCDI,0.0,1.3,0.03,3.72,0.0,1.29,0.06,4.04,0.0,1.26,0.06,4.13,0.51,0.0,2.14,0.54,0.0,1.91,0.35,0.0,1.53,0.36,0.0,1.41,0.32,0.0,1.34,0.08,0.0,0.39
pr,1380.57,1559.66,1224.76,1905.7,1455.77,1539.76,1204.25,1893.41,1444.33,1528.52,1207.61,1889.93,1560.65,1203.7,1957.66,1531.46,1171.41,1927.02,1576.27,1219.71,1969.33,1531.89,1165.92,1925.24,1608.1,1242.43,2006.19,1540.97,1172.36,1933.0
prcptotETCCDI,1409.6,1554.27,1224.74,1912.05,1419.42,1530.06,1201.19,1877.88,1401.36,1508.79,1172.78,1863.06,1561.95,1208.82,1983.58,1523.81,1160.46,1911.53,1582.6,1230.84,1986.06,1527.51,1155.59,1939.9,1620.25,1268.44,2019.23,1542.54,1175.28,1948.19
r10mmETCCDI,46.11,51.64,39.78,64.29,46.63,50.69,38.81,63.19,46.17,49.93,37.57,63.18,50.74,38.46,64.68,49.31,36.78,62.74,51.06,38.9,64.85,48.87,36.32,63.35,52.56,40.86,65.8,48.58,36.39,61.4
r1mmETCCDI,136.67,150.33,129.53,172.9,137.0,148.6,128.42,170.52,134.66,147.35,126.3,168.26,146.08,123.69,167.37,143.72,122.51,164.48,146.89,124.0,169.82,141.78,119.69,165.53,148.48,126.05,169.8,138.66,116.6,160.18
r20mmETCCDI,20.11,21.62,14.52,29.03,20.32,21.34,14.33,28.76,19.76,20.82,13.99,28.11,22.2,14.75,31.02,21.48,14.25,29.81,22.59,14.87,31.44,21.7,14.31,30.2,23.31,15.99,31.5,22.12,14.84,30.44
r95pETCCDI,332.18,358.24,167.38,575.41,341.71,350.79,170.17,560.27,322.45,345.48,171.25,551.45,407.46,198.36,655.43,395.84,189.51,665.04,422.92,213.37,701.56,415.42,202.73,699.35,439.66,215.92,695.9,462.34,244.65,727.29
r99pETCCDI,93.7,109.05,13.52,245.78,90.4,105.27,10.71,233.91,100.65,106.22,13.35,235.52,143.18,25.15,310.08,136.31,19.09,305.95,153.36,26.92,341.0,149.72,28.27,313.32,158.54,31.53,331.42,182.65,41.29,372.05
rx1dayETCCDI,71.99,72.45,49.75,107.42,69.1,71.91,49.62,108.15,72.12,71.65,50.22,105.78,78.99,52.55,117.83,78.1,53.18,117.29,81.54,52.96,124.05,81.25,54.04,120.45,80.81,54.86,120.16,85.0,57.6,123.88
rx5dayETCCDI,137.33,140.66,98.41,202.43,141.39,139.6,97.76,200.8,139.98,138.9,97.54,199.67,151.2,105.82,221.38,149.35,101.71,224.01,154.32,105.71,227.87,152.72,103.59,220.58,154.0,107.04,223.52,159.17,110.08,232.72
sdiiETCCDI,10.32,10.36,8.82,11.94,10.36,10.32,8.72,11.89,10.4,10.26,8.67,11.81,10.71,9.1,12.57,10.62,8.94,12.48,10.8,9.13,12.83,10.79,9.01,12.74,10.93,9.29,12.73,11.15,9.31,13.19
suETCCDI,365.23,98.94,82.57,115.57,365.27,99.77,83.15,116.22,365.23,102.9,86.15,119.14,127.09,109.8,142.46,123.84,106.12,141.03,131.49,116.18,146.66,132.93,115.14,150.17,133.74,118.96,147.65,157.8,141.31,173.92
tas,16.46,16.14,15.45,16.85,16.61,16.19,15.48,16.93,16.95,16.39,15.58,17.18,17.72,16.93,18.51,17.65,16.77,18.57,18.04,17.3,18.79,18.21,17.28,19.15,18.3,17.54,19.02,19.75,18.79,20.66
tn10pETCCDI,10.48,10.54,5.16,17.39,9.56,10.17,4.87,17.32,7.82,8.68,3.97,15.02,2.98,0.88,6.04,3.6,1.11,7.25,2.39,0.74,4.65,2.38,0.56,5.0,2.1,0.63,4.21,0.72,0.08,1.82
tn90pETCCDI,10.48,10.55,5.1,17.8,10.48,11.26,5.31,19.31,12.19,13.36,6.21,21.83,32.02,20.83,42.99,30.35,18.62,42.36,36.08,25.48,46.73,38.13,25.77,50.5,38.58,28.93,47.89,58.17,46.26,68.49
tnnETCCDI,-6.59,-3.82,-7.08,-1.23,-5.97,-3.78,-7.31,-1.11,-5.61,-3.54,-7.12,-0.89,-2.08,-4.97,0.37,-2.11,-5.29,0.27,-1.74,-4.66,0.54,-1.52,-4.11,0.58,-1.48,-4.08,0.56,0.0,-2.65,2.2
tnxETCCDI,27.16,26.17,25.21,27.21,27.2,26.25,25.2,27.32,27.38,26.46,25.37,27.6,27.81,26.69,28.97,27.78,26.69,29.01,28.08,27.03,29.2,28.38,27.21,29.67,28.31,27.26,29.48,30.0,28.68,31.39
